geoid,latitude,longitude,latlong
481130063023,32.722343,-96.850639,"32.7223, -96.8506"
481130064011,32.726664,-96.860952,"32.7267, -96.861"
481130064012,32.726178,-96.866153,"32.7262, -96.8662"
481130064021,32.724494,-96.876231,"32.7245, -96.8762"
481130064022,32.731859,-96.873498,"32.7319, -96.8735"
481130064023,32.727911,-96.871303,"32.7279, -96.8713"
481130064024,32.722869,-96.871394,"32.7229, -96.8714"
481130065011,32.729236,-96.894631,"32.7292, -96.8946"
481130065012,32.730986,-96.886075,"32.731, -96.8861"
481130065013,32.731645,-96.880208,"32.7316, -96.8802"
481130065021,32.725706,-96.879851,"32.7257, -96.8799"
481130065022,32.726365,-96.88672,"32.7264, -96.8867"
481130065023,32.722616,-96.885923,"32.7226, -96.8859"
481130067001,32.74497,-96.877732,"32.745, -96.8777"
481130067002,32.746407,-96.884568,"32.7464, -96.8846"
481130067003,32.744363,-96.888108,"32.7444, -96.8881"
481130067004,32.737939,-96.876746,"32.7379, -96.8767"
481130068001,32.751992,-96.868962,"32.752, -96.869"
481130068002,32.753397,-96.862467,"32.7534, -96.8625"
481130068003,32.756844,-96.860531,"32.7568, -96.8605"
481130069001,32.76236,-96.861741,"32.7624, -96.8617"
481130069002,32.761801,-96.869784,"32.7618, -96.8698"
481130069003,32.758598,-96.869588,"32.7586, -96.8696"
481130071011,32.847652,-96.816463,"32.8477, -96.8165"
481130071012,32.841183,-96.818051,"32.8412, -96.8181"
481130071021,32.847817,-96.826021,"32.8478, -96.826"
481130071022,32.848591,-96.833396,"32.8486, -96.8334"
481130071023,32.835104,-96.824841,"32.8351, -96.8248"
481130071024,32.842372,-96.828318,"32.8424, -96.8283"
481130071025,32.83906,-96.825916,"32.8391, -96.8259"
481130072011,32.863751,-96.874314,"32.8638, -96.8743"
481130072012,32.859805,-96.870345,"32.8598, -96.8703"
481130072013,32.859931,-96.874889,"32.8599, -96.8749"
481130072014,32.857029,-96.876522,"32.857, -96.8765"
481130072015,32.854989,-96.875223,"32.855, -96.8752"
481130072021,32.862704,-96.869258,"32.8627, -96.8693"
481130072022,32.86136,-96.866977,"32.8614, -96.867"
481130072023,32.859256,-96.86595,"32.8593, -96.8659"
481130072024,32.864769,-96.86814,"32.8648, -96.8681"
481130072025,32.862895,-96.863401,"32.8629, -96.8634"
481130073011,32.858367,-96.818437,"32.8584, -96.8184"
481130073012,32.859969,-96.813462,"32.86, -96.8135"
481130073021,32.856409,-96.841908,"32.8564, -96.8419"
481130073022,32.856856,-96.825339,"32.8569, -96.8253"
481130073023,32.858762,-96.830609,"32.8588, -96.8306"
481130073024,32.86184,-96.842718,"32.8618, -96.8427"
481130076011,32.889735,-96.828198,"32.8897, -96.8282"
481130076012,32.883762,-96.832179,"32.8838, -96.8322"
481130076041,32.890449,-96.791725,"32.8904, -96.7917"
481130076042,32.883269,-96.791405,"32.8833, -96.7914"
481130076043,32.887013,-96.799739,"32.887, -96.7997"
481130076051,32.887352,-96.815133,"32.8874, -96.8151"
