,year,depart_time,origin,destination,travel_time
649,2018,8:00:00,4.8113E+11,4.8113E+11,1767
650,2018,8:00:00,4.8113E+11,4.8113E+11,1796
651,2018,8:00:00,4.8113E+11,4.8113E+11,1695
652,2018,8:00:00,4.8113E+11,4.8113E+11,1193
653,2018,8:00:00,4.8113E+11,4.8113E+11,924
654,2018,8:00:00,4.8113E+11,4.8113E+11,1081
661,2018,8:00:00,4.8113E+11,4.8113E+11,1456
662,2018,8:00:00,4.8113E+11,4.8113E+11,1194
663,2018,8:00:00,4.8113E+11,4.8113E+11,1604
664,2018,8:00:00,4.8113E+11,4.8113E+11,929
670,2018,8:00:00,4.8113E+11,4.8113E+11,1457
671,2018,8:00:00,4.8113E+11,4.8113E+11,1037
672,2018,8:00:00,4.8113E+11,4.8113E+11,1270
673,2018,8:00:00,4.8113E+11,4.8113E+11,1217
674,2018,8:00:00,4.8113E+11,4.8113E+11,1322
675,2018,8:00:00,4.8113E+11,4.8113E+11,1282
676,2018,8:00:00,4.8113E+11,4.8113E+11,1508
677,2018,8:00:00,4.8113E+11,4.8113E+11,1074
678,2018,8:00:00,4.8113E+11,4.8113E+11,1280
679,2018,8:00:00,4.8113E+11,4.8113E+11,1785
680,2018,8:00:00,4.8113E+11,4.8113E+11,943
681,2018,8:00:00,4.8113E+11,4.8113E+11,1282
682,2018,8:00:00,4.8113E+11,4.8113E+11,1758
683,2018,8:00:00,4.8113E+11,4.8113E+11,1509
684,2018,8:00:00,4.8113E+11,4.8113E+11,1492
685,2018,8:00:00,4.8113E+11,4.8113E+11,1177
686,2018,8:00:00,4.8113E+11,4.8113E+11,1253
687,2018,8:00:00,4.8113E+11,4.8113E+11,1297
688,2018,8:00:00,4.8113E+11,4.8113E+11,975
689,2018,8:00:00,4.8113E+11,4.8113E+11,1047
690,2018,8:00:00,4.8113E+11,4.8113E+11,1249
691,2018,8:00:00,4.8113E+11,4.8113E+11,1749
692,2018,8:00:00,4.8113E+11,4.8113E+11,1075
693,2018,8:00:00,4.8113E+11,4.8113E+11,777
694,2018,8:00:00,4.8113E+11,4.8113E+11,787
695,2018,8:00:00,4.8113E+11,4.8113E+11,1781
696,2018,8:00:00,4.8113E+11,4.8113E+11,1763
697,2018,8:00:00,4.8113E+11,4.8113E+11,1080
700,2018,8:00:00,4.8113E+11,4.8113E+11,1170
711,2018,8:00:00,4.8113E+11,4.8113E+11,1751
719,2018,8:00:00,4.8113E+11,4.8113E+11,1425
721,2018,8:00:00,4.8113E+11,4.8113E+11,1335
722,2018,8:00:00,4.8113E+11,4.8113E+11,1788
748,2018,8:00:00,4.8113E+11,4.8113E+11,1747
760,2018,8:00:00,4.8113E+11,4.8113E+11,1513
762,2018,8:00:00,4.8113E+11,4.8113E+11,851
767,2018,8:00:00,4.8113E+11,4.8113E+11,906
769,2018,8:00:00,4.8113E+11,4.8113E+11,1775
770,2018,8:00:00,4.8113E+11,4.8113E+11,1236
771,2018,8:00:00,4.8113E+11,4.8113E+11,1393
773,2018,8:00:00,4.8113E+11,4.8113E+11,1428
776,2018,8:00:00,4.8113E+11,4.8113E+11,1402
777,2018,8:00:00,4.8113E+11,4.8113E+11,1278
778,2018,8:00:00,4.8113E+11,4.8113E+11,926
793,2018,8:00:00,4.8113E+11,4.8113E+11,1687
794,2018,8:00:00,4.8113E+11,4.8113E+11,1718
795,2018,8:00:00,4.8113E+11,4.8113E+11,1256
796,2018,8:00:00,4.8113E+11,4.8113E+11,664
797,2018,8:00:00,4.8113E+11,4.8113E+11,98
798,2018,8:00:00,4.8113E+11,4.8113E+11,692
799,2018,8:00:00,4.8113E+11,4.8113E+11,820
800,2018,8:00:00,4.8113E+11,4.8113E+11,881
801,2018,8:00:00,4.8113E+11,4.8113E+11,1366
802,2018,8:00:00,4.8113E+11,4.8113E+11,1487
803,2018,8:00:00,4.8113E+11,4.8113E+11,1454
804,2018,8:00:00,4.8113E+11,4.8113E+11,1675
825,2018,8:00:00,4.8113E+11,4.8113E+11,1320
826,2018,8:00:00,4.8113E+11,4.8113E+11,1520
829,2018,8:00:00,4.8113E+11,4.8113E+11,1607
830,2018,8:00:00,4.8113E+11,4.8113E+11,1721
833,2018,8:00:00,4.8113E+11,4.8113E+11,1587
834,2018,8:00:00,4.8113E+11,4.8113E+11,1072
835,2018,8:00:00,4.8113E+11,4.8113E+11,1090
836,2018,8:00:00,4.8113E+11,4.8113E+11,960
842,2018,8:00:00,4.8113E+11,4.8113E+11,864
843,2018,8:00:00,4.8113E+11,4.8113E+11,602
845,2018,8:00:00,4.8113E+11,4.8113E+11,1101
849,2018,8:00:00,4.8113E+11,4.8113E+11,1734
850,2018,8:00:00,4.8113E+11,4.8113E+11,1618
852,2018,8:00:00,4.8113E+11,4.8113E+11,1268
853,2018,8:00:00,4.8113E+11,4.8113E+11,916
854,2018,8:00:00,4.8113E+11,4.8113E+11,1081
855,2018,8:00:00,4.8113E+11,4.8113E+11,1028
856,2018,8:00:00,4.8113E+11,4.8113E+11,1133
857,2018,8:00:00,4.8113E+11,4.8113E+11,1161
858,2018,8:00:00,4.8113E+11,4.8113E+11,1387
859,2018,8:00:00,4.8113E+11,4.8113E+11,953
860,2018,8:00:00,4.8113E+11,4.8113E+11,1091
861,2018,8:00:00,4.8113E+11,4.8113E+11,1612
862,2018,8:00:00,4.8113E+11,4.8113E+11,822
863,2018,8:00:00,4.8113E+11,4.8113E+11,1161
864,2018,8:00:00,4.8113E+11,4.8113E+11,1569
865,2018,8:00:00,4.8113E+11,4.8113E+11,1320
866,2018,8:00:00,4.8113E+11,4.8113E+11,1303
867,2018,8:00:00,4.8113E+11,4.8113E+11,1056
868,2018,8:00:00,4.8113E+11,4.8113E+11,1132
869,2018,8:00:00,4.8113E+11,4.8113E+11,1176
870,2018,8:00:00,4.8113E+11,4.8113E+11,854
871,2018,8:00:00,4.8113E+11,4.8113E+11,926
872,2018,8:00:00,4.8113E+11,4.8113E+11,1128
873,2018,8:00:00,4.8113E+11,4.8113E+11,1628
874,2018,8:00:00,4.8113E+11,4.8113E+11,1285
875,2018,8:00:00,4.8113E+11,4.8113E+11,987
876,2018,8:00:00,4.8113E+11,4.8113E+11,997
877,2018,8:00:00,4.8113E+11,4.8113E+11,1755
879,2018,8:00:00,4.8113E+11,4.8113E+11,1603
881,2018,8:00:00,4.8113E+11,4.8113E+11,1297
882,2018,8:00:00,4.8113E+11,4.8113E+11,830
887,2018,8:00:00,4.8113E+11,4.8113E+11,1736
893,2018,8:00:00,4.8113E+11,4.8113E+11,1562
901,2018,8:00:00,4.8113E+11,4.8113E+11,1304
902,2018,8:00:00,4.8113E+11,4.8113E+11,1787
903,2018,8:00:00,4.8113E+11,4.8113E+11,1146
904,2018,8:00:00,4.8113E+11,4.8113E+11,1599
908,2018,8:00:00,4.8113E+11,4.8113E+11,1684
944,2018,8:00:00,4.8113E+11,4.8113E+11,1061
949,2018,8:00:00,4.8113E+11,4.8113E+11,1116
952,2018,8:00:00,4.8113E+11,4.8113E+11,1446
953,2018,8:00:00,4.8113E+11,4.8113E+11,1603
955,2018,8:00:00,4.8113E+11,4.8113E+11,1638
958,2018,8:00:00,4.8113E+11,4.8113E+11,1612
959,2018,8:00:00,4.8113E+11,4.8113E+11,1488
960,2018,8:00:00,4.8113E+11,4.8113E+11,1136
977,2018,8:00:00,4.8113E+11,4.8113E+11,983
978,2018,8:00:00,4.8113E+11,4.8113E+11,822
979,2018,8:00:00,4.8113E+11,4.8113E+11,692
980,2018,8:00:00,4.8113E+11,4.8113E+11,16
981,2018,8:00:00,4.8113E+11,4.8113E+11,1019
982,2018,8:00:00,4.8113E+11,4.8113E+11,413
983,2018,8:00:00,4.8113E+11,4.8113E+11,914
984,2018,8:00:00,4.8113E+11,4.8113E+11,1329
985,2018,8:00:00,4.8113E+11,4.8113E+11,1183
986,2018,8:00:00,4.8113E+11,4.8113E+11,1158
1014,2018,8:00:00,4.8113E+11,4.8113E+11,1621
1016,2018,8:00:00,4.8113E+11,4.8113E+11,1796
1019,2018,8:00:00,4.8113E+11,4.8113E+11,1676
1020,2018,8:00:00,4.8113E+11,4.8113E+11,1534
1021,2018,8:00:00,4.8113E+11,4.8113E+11,1368
1023,2018,8:00:00,4.8113E+11,4.8113E+11,1512
1024,2018,8:00:00,4.8113E+11,4.8113E+11,1289
1025,2018,8:00:00,4.8113E+11,4.8113E+11,1040
1026,2018,8:00:00,4.8113E+11,4.8113E+11,1257
1027,2018,8:00:00,4.8113E+11,4.8113E+11,1550
1028,2018,8:00:00,4.8113E+11,4.8113E+11,892
1029,2018,8:00:00,4.8113E+11,4.8113E+11,488
1030,2018,8:00:00,4.8113E+11,4.8113E+11,404
1031,2018,8:00:00,4.8113E+11,4.8113E+11,585
1038,2018,8:00:00,4.8113E+11,4.8113E+11,1295
1039,2018,8:00:00,4.8113E+11,4.8113E+11,1032
1040,2018,8:00:00,4.8113E+11,4.8113E+11,1754
1042,2018,8:00:00,4.8113E+11,4.8113E+11,788
1050,2018,8:00:00,4.8113E+11,4.8113E+11,1673
1051,2018,8:00:00,4.8113E+11,4.8113E+11,764
1052,2018,8:00:00,4.8113E+11,4.8113E+11,1612
1053,2018,8:00:00,4.8113E+11,4.8113E+11,1285
1054,2018,8:00:00,4.8113E+11,4.8113E+11,1578
1055,2018,8:00:00,4.8113E+11,4.8113E+11,1009
1056,2018,8:00:00,4.8113E+11,4.8113E+11,1235
1057,2018,8:00:00,4.8113E+11,4.8113E+11,933
1060,2018,8:00:00,4.8113E+11,4.8113E+11,1147
1061,2018,8:00:00,4.8113E+11,4.8113E+11,1512
1062,2018,8:00:00,4.8113E+11,4.8113E+11,802
1063,2018,8:00:00,4.8113E+11,4.8113E+11,1009
1064,2018,8:00:00,4.8113E+11,4.8113E+11,1531
1065,2018,8:00:00,4.8113E+11,4.8113E+11,1640
1067,2018,8:00:00,4.8113E+11,4.8113E+11,823
1068,2018,8:00:00,4.8113E+11,4.8113E+11,980
1069,2018,8:00:00,4.8113E+11,4.8113E+11,1024
1070,2018,8:00:00,4.8113E+11,4.8113E+11,643
1071,2018,8:00:00,4.8113E+11,4.8113E+11,774
1072,2018,8:00:00,4.8113E+11,4.8113E+11,976
1073,2018,8:00:00,4.8113E+11,4.8113E+11,1476
1074,2018,8:00:00,4.8113E+11,4.8113E+11,1225
1075,2018,8:00:00,4.8113E+11,4.8113E+11,927
1076,2018,8:00:00,4.8113E+11,4.8113E+11,937
1079,2018,8:00:00,4.8113E+11,4.8113E+11,1649
1080,2018,8:00:00,4.8113E+11,4.8113E+11,1727
1081,2018,8:00:00,4.8113E+11,4.8113E+11,1390
1082,2018,8:00:00,4.8113E+11,4.8113E+11,1674
1086,2018,8:00:00,4.8113E+11,4.8113E+11,1684
1104,2018,8:00:00,4.8113E+11,4.8113E+11,1152
1105,2018,8:00:00,4.8113E+11,4.8113E+11,1635
1106,2018,8:00:00,4.8113E+11,4.8113E+11,1696
1113,2018,8:00:00,4.8113E+11,4.8113E+11,1532
1114,2018,8:00:00,4.8113E+11,4.8113E+11,1787
1196,2018,8:00:00,4.8113E+11,4.8113E+11,1001
1201,2018,8:00:00,4.8113E+11,4.8113E+11,1056
1204,2018,8:00:00,4.8113E+11,4.8113E+11,1386
1205,2018,8:00:00,4.8113E+11,4.8113E+11,1543
1207,2018,8:00:00,4.8113E+11,4.8113E+11,1578
1210,2018,8:00:00,4.8113E+11,4.8113E+11,1552
1211,2018,8:00:00,4.8113E+11,4.8113E+11,1428
1212,2018,8:00:00,4.8113E+11,4.8113E+11,1076
1261,2018,8:00:00,4.8113E+11,4.8113E+11,1640
1262,2018,8:00:00,4.8113E+11,4.8113E+11,1343
1263,2018,8:00:00,4.8113E+11,4.8113E+11,665
1264,2018,8:00:00,4.8113E+11,4.8113E+11,894
1265,2018,8:00:00,4.8113E+11,4.8113E+11,824
1266,2018,8:00:00,4.8113E+11,4.8113E+11,1019
1267,2018,8:00:00,4.8113E+11,4.8113E+11,12
1268,2018,8:00:00,4.8113E+11,4.8113E+11,603
1269,2018,8:00:00,4.8113E+11,4.8113E+11,1055
1270,2018,8:00:00,4.8113E+11,4.8113E+11,1554
1271,2018,8:00:00,4.8113E+11,4.8113E+11,625
1272,2018,8:00:00,4.8113E+11,4.8113E+11,1302
1287,2018,8:00:00,4.8113E+11,4.8113E+11,1105
1288,2018,8:00:00,4.8113E+11,4.8113E+11,1578
1289,2018,8:00:00,4.8113E+11,4.8113E+11,1590
1290,2018,8:00:00,4.8113E+11,4.8113E+11,1639
1291,2018,8:00:00,4.8113E+11,4.8113E+11,1738
1292,2018,8:00:00,4.8113E+11,4.8113E+11,1493
1293,2018,8:00:00,4.8113E+11,4.8113E+11,1484
1294,2018,8:00:00,4.8113E+11,4.8113E+11,1684
1295,2018,8:00:00,4.8113E+11,4.8113E+11,1381
1296,2018,8:00:00,4.8113E+11,4.8113E+11,1381
1297,2018,8:00:00,4.8113E+11,4.8113E+11,1518
1298,2018,8:00:00,4.8113E+11,4.8113E+11,1095
1299,2018,8:00:00,4.8113E+11,4.8113E+11,1453
1300,2018,8:00:00,4.8113E+11,4.8113E+11,1429
1301,2018,8:00:00,4.8113E+11,4.8113E+11,1381
1302,2018,8:00:00,4.8113E+11,4.8113E+11,803
1303,2018,8:00:00,4.8113E+11,4.8113E+11,802
1304,2018,8:00:00,4.8113E+11,4.8113E+11,900
1315,2018,8:00:00,4.8113E+11,4.8113E+11,893
1316,2018,8:00:00,4.8113E+11,4.8113E+11,858
1317,2018,8:00:00,4.8113E+11,4.8113E+11,1312
1319,2018,8:00:00,4.8113E+11,4.8113E+11,972
1322,2018,8:00:00,4.8113E+11,4.8113E+11,1687
1323,2018,8:00:00,4.8113E+11,4.8113E+11,1571
1325,2018,8:00:00,4.8113E+11,4.8113E+11,1221
1326,2018,8:00:00,4.8113E+11,4.8113E+11,1080
1327,2018,8:00:00,4.8113E+11,4.8113E+11,1034
1328,2018,8:00:00,4.8113E+11,4.8113E+11,981
1329,2018,8:00:00,4.8113E+11,4.8113E+11,1086
1330,2018,8:00:00,4.8113E+11,4.8113E+11,1325
1331,2018,8:00:00,4.8113E+11,4.8113E+11,1385
1332,2018,8:00:00,4.8113E+11,4.8113E+11,1117
1333,2018,8:00:00,4.8113E+11,4.8113E+11,1044
1334,2018,8:00:00,4.8113E+11,4.8113E+11,1565
1335,2018,8:00:00,4.8113E+11,4.8113E+11,986
1336,2018,8:00:00,4.8113E+11,4.8113E+11,1325
1337,2018,8:00:00,4.8113E+11,4.8113E+11,1522
1338,2018,8:00:00,4.8113E+11,4.8113E+11,1273
1339,2018,8:00:00,4.8113E+11,4.8113E+11,1256
1340,2018,8:00:00,4.8113E+11,4.8113E+11,1220
1341,2018,8:00:00,4.8113E+11,4.8113E+11,1296
1342,2018,8:00:00,4.8113E+11,4.8113E+11,1340
1343,2018,8:00:00,4.8113E+11,4.8113E+11,1018
1344,2018,8:00:00,4.8113E+11,4.8113E+11,1090
1345,2018,8:00:00,4.8113E+11,4.8113E+11,1292
1346,2018,8:00:00,4.8113E+11,4.8113E+11,1792
1347,2018,8:00:00,4.8113E+11,4.8113E+11,869
1348,2018,8:00:00,4.8113E+11,4.8113E+11,713
1349,2018,8:00:00,4.8113E+11,4.8113E+11,1027
1350,2018,8:00:00,4.8113E+11,4.8113E+11,1654
1351,2018,8:00:00,4.8113E+11,4.8113E+11,1477
1352,2018,8:00:00,4.8113E+11,4.8113E+11,830
1354,2018,8:00:00,4.8113E+11,4.8113E+11,1201
1355,2018,8:00:00,4.8113E+11,4.8113E+11,800
1366,2018,8:00:00,4.8113E+11,4.8113E+11,1515
1374,2018,8:00:00,4.8113E+11,4.8113E+11,1468
1375,2018,8:00:00,4.8113E+11,4.8113E+11,1745
1376,2018,8:00:00,4.8113E+11,4.8113E+11,1099
1377,2018,8:00:00,4.8113E+11,4.8113E+11,1552
1396,2018,8:00:00,4.8113E+11,4.8113E+11,1695
1399,2018,8:00:00,4.8113E+11,4.8113E+11,1547
1403,2018,8:00:00,4.8113E+11,4.8113E+11,1687
1406,2018,8:00:00,4.8113E+11,4.8113E+11,1445
1407,2018,8:00:00,4.8113E+11,4.8113E+11,1562
1408,2018,8:00:00,4.8113E+11,4.8113E+11,1796
