,origin,travel_time
461,481130092021,1233
462,481130092022,1274
463,481130092023,1612
464,481130093011,1054
465,481130093012,1176
466,481130093013,242
467,481130093031,1262
468,481130093032,1046
469,481130093033,1292
470,481130093041,1484
471,481130093042,753
472,481130093043,1457
473,481130093044,845
474,481130094011,2283
475,481130094012,2161
476,481130094013,2009
477,481130094021,2460
478,481130094022,2399
479,481130095001,2150
480,481130095002,2848
481,481130096031,2778
482,481130096032,2876
483,481130096033,2839
484,481130096041a,1738
485,481130096041b,1682
486,481130096042,2954
487,481130096043,2258
488,481130096044,2638
489,481130096051,2593
490,481130096052,2539
491,481130096071,2754
492,481130096072,2666
493,481130096073,2091
494,481130096081,2837
495,481130096082,3011
496,481130096083,2616
497,481130096091,2971
498,481130096092,2962
499,481130096093,3269
500,481130096101,2113
501,481130096102,2272
502,481130096103,2326
503,481130096111,2345
504,481130096112,2094
505,481130096113,1725
506,481130097011,1425
507,481130097012,1360
508,481130097013,1798
509,481130097021,2290
510,481130097022,2201
511,481130098021,1485
512,481130098022,1267
513,481130098023,1544
514,481130098024,1222
515,481130098025,1869
516,481130098031,1418
517,481130098032,878
518,481130098033,962
519,481130098041,1275
520,481130098042,1383
521,481130098043,1186
522,481130098044,837
523,481130099002,2766
524,481130100001,1102
525,481130100002,1491
526,481130101011,695
527,481130101012,554
528,481130101013,558
529,481130101021,602
530,481130101022,796
531,481130101023,543
532,481130105001,1039
533,481130105002,960
534,481130106011,1493
535,481130106012,1493
536,481130106013,1627
537,481130106021,2156
538,481130106022,2275
539,481130107011,2364
540,481130107012,1930
541,481130107031,2329
542,481130107032,2149
543,481130107041,2459
544,481130107042,2385
545,481130108011,1540
546,481130108012,1754
547,481130108013,2451
548,481130108014,2674
549,481130108031,1442
550,481130108032,1737
551,481130108033,929
552,481130108034,2437
553,481130108035,1429
554,481130108036,1527
555,481130108041,2088
556,481130108042,1551
557,481130108051,2428
558,481130108052,1437
559,481130108053,1238
560,481130109021,2371
561,481130109022,2510
562,481130109023,2362
563,481130109031,2426
564,481130109032,2531
565,481130109041,684
566,481130109042,1443
567,481130110011,751
568,481130110012,923
569,481130110013,1205
570,481130110014,1491
571,481130110015,963
572,481130110016,1161
573,481130110021,1063
574,481130110022,807
575,481130110023,1123
576,481130111011,1169
577,481130111012,1070
578,481130111013,1400
579,481130111031,1569
580,481130111032a,1745
581,481130111032b,994
582,481130111033,1141
583,481130111041,921
584,481130111042,976
585,481130111043,1662
586,481130111044,1616
587,481130111051,1710
588,481130111052,1613
589,481130111053,1586
590,481130112002,1043
591,481130112003,1043
592,481130113001,1527
593,481130113002,1294
594,481130113003,1408
595,481130114011,1699
596,481130114012,1700
597,481130114013,1661
598,481130115001,1667
599,481130115002,1599
600,481130115003,1584
601,481130115004,1604
602,481130116011,688
603,481130116013,1053
604,481130116021,3126
605,481130116024,1276
606,481130117011,2113
607,481130117012,2315
608,481130117013,1859
609,481130117014,2244
610,481130117022,2496
611,481130117023,3058
612,481130118002,1190
613,481130118003,1413
614,481130118004,2183
615,481130118005,1629
616,481130119001,1743
617,481130119002,1673
618,481130119003,1679
619,481130119004,1647
620,481130119006,1706
621,481130120001,1738
622,481130120002,1766
623,481130120003,1847
624,481130120004,2079
625,481130121001,1625
626,481130121002,1479
627,481130121003,1906
628,481130122041,1234
629,481130122042,1577
630,481130122043,1466
631,481130122044,1133
632,481130122045,1277
633,481130122061,2179
634,481130122062,1479
635,481130122063,2094
636,481130122071,757
637,481130122072,834
638,481130122073,973
639,481130122081,1822
640,481130122082,1757
641,481130122091,1408
642,481130122092,1831
643,481130122101,1150
644,481130122102a,953
645,481130122102b,1135
646,481130122111,1134
647,481130122112,657
648,481130122113,521
649,481130123011,1284
650,481130123012,1168
651,481130123013,735
652,481130123021,901
653,481130123022,680
654,481130123023,565
655,481130124001,1478
656,481130124002,1218
657,481130124003,1406
658,481130124004,977
659,481130124005,1176
660,481130124006,1126
661,481130125001,1624
662,481130125002,1547
663,481130125003,1990
664,481130125004,2115
665,481130125005,1984
666,481130126011,2016
667,481130126012,1851
668,481130126013,1635
669,481130126031,1655
670,481130126032,2063
671,481130126041,1836
672,481130126042,1793
673,481130127011,2122
674,481130127012,1959
675,481130127013,1812
676,481130127014,1845
677,481130127021,1822
678,481130127022,1418
679,481130127023,2141
680,481130128001,1879
681,481130128002,1562
682,481130128003,1796
683,481130128004,1609
684,481130128005,1621
685,481130128006,1681
686,481130129001,1505
687,481130129002,1319
688,481130129003,1434
689,481130129004,1089
690,481130129005,1588
691,481130130041,1822
692,481130130042,1956
693,481130130043,1523
694,481130130044,1586
695,481130130045,1519
696,481130130051,1798
697,481130130052,1914
698,481130130053,1585
699,481130130054,1369
700,481130130071,2252
701,481130130072,1440
702,481130130073,1552
703,481130130081,1595
704,481130130082,1750
705,481130130091,1819
706,481130130092,1562
707,481130130093,1486
708,481130130101,1800
709,481130130102,1929
710,481130130103,1724
711,481130130111,2237
712,481130130112,2034
713,481130130113,2047
714,481130131011,2191
715,481130131012,2502
716,481130131013a,2369
717,481130131013b,3473
718,481130131021,3325
719,481130131022,2579
720,481130131041,2526
721,481130131042,2266
722,481130131051,1849
723,481130131052,1875
724,481130131053,1940
725,481130131054,1862
726,481130132001,2198
727,481130132002,1150
728,481130132003,2970
729,481130132004,2452
730,481130133001,2418
731,481130133002,2398
732,481130134001,2610
733,481130134002,2045
734,481130135002,2906
735,481130136051,1579
736,481130136053,3050
737,481130136054,1375
738,481130136061,1942
739,481130136062,1971
740,481130136063,2516
741,481130136071,1250
742,481130136072,1991
743,481130136073,1757
744,481130136074,1487
745,481130136081,1252
746,481130136082,2307
747,481130136091,1420
748,481130136092,924
749,481130136093,664
750,481130136101,980
751,481130136102,811
752,481130136103a,1226
753,481130136103b,1237
754,481130136104,1807
755,481130136112,2866
756,481130136151,1198
757,481130136152,1528
758,481130136153,1302
759,481130136192,3167
760,481130136193,2955
761,481130136201,1542
762,481130136202,1964
763,481130136203,2181
764,481130136211,2964
765,481130136212,1523
766,481130136213,1400
767,481130136222,1272
768,481130136231,1448
769,481130136232,1291
770,481130136233,1126
771,481130136241,1406
772,481130136242,1123
773,481130136251,1520
774,481130136261,1677
775,481130136262,1206
776,481130165101,2804
777,481130165103,2231
778,481130165104,2478
779,481130165111,2952
780,481130165112,3327
781,481130165202a,2360
782,481130165203,1830
783,481130165211,2965
784,481130166051,2482
