geoid,Centx,Centy
481130056001,-96.82163,32.718451
481130056002,-96.81877,32.710348
481130056003,-96.825749,32.709976
481130056004,-96.815361,32.712794
481130057001,-96.795897,32.690506
481130059021,-96.818728,32.704133
481130059022,-96.818681,32.692883
481130060012,-96.833733,32.708329
481130060013,-96.836899,32.711049
481130060021,-96.829058,32.69572
481130060022,-96.832296,32.701126
481130060023,-96.835886,32.697124
481130061001,-96.851912,32.700022
481130061002,-96.84507,32.697001
481130062001,-96.827866,32.727286
481130063011,-96.843915,32.715266
481130062002,-96.832746,32.730194
481130062003,-96.835328,32.724582
481130062004,-96.837075,32.717541
481130062005,-96.831993,32.71627
481130063015,-96.850751,32.70983
481130063016,-96.842109,32.709436
481130063021,-96.84225,32.726251
481130063022,-96.849333,32.726811
481130063023,-96.850796,32.722259
481130064011,-96.860684,32.72646
481130064012,-96.86641,32.7253
481130064021,-96.876054,32.724104
481130067001,-96.8776,32.74535
481130068001,-96.87066,32.751962
481130069003,-96.870227,32.757565
481130067002,-96.892596,32.745389
481130067003,-96.887664,32.744216
481130067004,-96.876528,32.738258
481130096102,-96.885394,32.8998
481130068002,-96.861998,32.75331
481130068003,-96.859558,32.758004
481130069001,-96.864164,32.764056
481130069002,-96.869923,32.761862
481130071011,-96.817067,32.848317
481130071012,-96.817903,32.841044
481130071021,-96.825741,32.84806
481130071022,-96.834291,32.848477
481130071023,-96.826559,32.834354
481130077002,-96.799802,32.866944
481130071024,-96.829016,32.842144
481130071025,-96.825861,32.838984
481130072011,-96.875338,32.864247
481130072012,-96.870176,32.85853
481130072013,-96.875246,32.85964
481130072014,-96.877674,32.855563
481130072015,-96.874549,32.855224
481130072021,-96.869248,32.862708
481130072022,-96.866887,32.861354
481130072023,-96.865257,32.859453
481130072024,-96.866799,32.864876
481130072025,-96.862085,32.860626
481130098024,-96.862866,32.868379
481130073011,-96.818598,32.85845
481130073012,-96.811176,32.860865
481130073023,-96.830847,32.858543
481130073021,-96.84263,32.856456
481130073022,-96.825457,32.856534
481130073024,-96.844161,32.861705
481130076011,-96.828022,32.889824
481130077001,-96.791124,32.876713
481130076012,-96.832239,32.883701
481130076041,-96.791622,32.890504
481130076042,-96.79156,32.883037
481130076043,-96.800214,32.887429
481130076051,-96.814735,32.887403
481130076052,-96.806458,32.887262
481130077003,-96.799793,32.87416
481130077004,-96.791058,32.869421
481130078011,-96.777303,32.871595
481130078012,-96.782131,32.876234
481130078051,-96.754806,32.906163
481130078041,-96.752345,32.912338
481130078042,-96.756492,32.919453
481130078043,-96.763099,32.91541
481130078044,-96.747958,32.916841
481130078151,-96.759459,32.873462
481130078052,-96.760909,32.900466
481130078053,-96.753887,32.900859
481130078091,-96.748959,32.859425
481130078121,-96.745711,32.89732
481130078122,-96.746927,32.885727
481130078152,-96.759046,32.878428
481130078153,-96.754527,32.882245
481130078181,-96.755909,32.866219
481130078182,-96.751678,32.865083
481130078183,-96.760936,32.869781
481130078184,-96.75863,32.868439
481130078191,-96.756649,32.864012
481130078192,-96.764545,32.868468
481130078201,-96.746568,32.866669
481130078202,-96.756885,32.869614
481130078203,-96.751854,32.867422
481130078211,-96.755292,32.872301
481130078212,-96.756768,32.873122
481130078213,-96.747558,32.872805
481130078221,-96.765997,32.875677
481130078222,-96.767732,32.884146
481130078231,-96.767378,32.895105
481130079021,-96.735775,32.850471
481130078232,-96.761838,32.891361
481130078233,-96.763747,32.886688
481130078241,-96.737856,32.882755
481130079022,-96.742853,32.852139
481130078242,-96.738304,32.874391
481130078251,-96.734283,32.897484
481130079023,-96.747237,32.841675
481130078252,-96.734551,32.890131
481130078253,-96.729931,32.892158
481130078254,-96.739317,32.889688
481130078255,-96.727194,32.893406
481130079132,-96.766022,32.847379
481130078261,-96.734187,32.87125
481130078271,-96.72821,32.890479
481130078272,-96.733647,32.881653
481130078273,-96.731556,32.882166
481130096103,-96.886783,32.906483
481130079024,-96.749757,32.85399
481130079025,-96.748636,32.847792
481130079031,-96.755213,32.854526
481130079032,-96.757262,32.84673
481130079061,-96.779658,32.862007
481130081002,-96.701504,32.826937
481130079062,-96.77342,32.859316
481130079091,-96.762358,32.852221
481130079092,-96.767827,32.853842
481130079101,-96.76151,32.85745
481130079102,-96.763313,32.854972
481130079111,-96.76159,32.862786
481130079112,-96.757454,32.860202
481130079121,-96.767185,32.863175
481130079122,-96.767917,32.859035
481130079131,-96.762757,32.848812
481130081003,-96.708594,32.81836
481130084004,-96.702968,32.768
481130084005,-96.705862,32.774045
481130084006,-96.709702,32.766611
481130087014,-96.765279,32.699736
481130084007,-96.722516,32.786745
481130085001,-96.688237,32.774257
481130085002,-96.697105,32.775077
481130085003,-96.695649,32.767524
481130085004,-96.686879,32.766665
481130086031,-96.766401,32.725066
481130086032,-96.7837,32.737448
481130087015,-96.762988,32.693091
481130086041,-96.771404,32.71673
481130086042,-96.765408,32.719819
481130087011,-96.766952,32.712139
481130087012,-96.761831,32.7057
481130087013,-96.769383,32.704254
481130087032,-96.785784,32.701509
481130087041,-96.777879,32.698543
481130087042,-96.774612,32.695193
481130087043,-96.787666,32.692542
481130087051,-96.775323,32.687604
481130098044,-96.872833,32.874668
481130087052,-96.783228,32.685187
481130088011,-96.788843,32.721889
481130088012,-96.79341,32.716625
481130088013,-96.801604,32.71372
481130088021,-96.782377,32.714993
481130088022,-96.788954,32.712549
481130088023,-96.796457,32.709771
481130088024,-96.792197,32.70483
481130088025,-96.786139,32.707753
481130088026,-96.778889,32.711141
481130090001,-96.670413,32.758456
481130089001,-96.787797,32.747156
481130089002,-96.797131,32.741959
481130089003,-96.794714,32.735624
481130090002,-96.677857,32.759187
481130090003,-96.678435,32.751825
481130090004,-96.668285,32.751281
481130091012,-96.698464,32.753083
481130090005,-96.676721,32.769961
481130091011,-96.69546,32.760988
481130093011,-96.685539,32.726604
481130091013,-96.695601,32.757063
481130091014,-96.687068,32.753251
481130092013,-96.678371,32.73822
481130092014,-96.66875,32.74052
481130092015,-96.668548,32.736075
481130092021,-96.668236,32.73018
481130092022,-96.678739,32.728921
481130092023,-96.673718,32.722849
481130093012,-96.691532,32.728172
481130093013,-96.700909,32.730917
481130093033,-96.709068,32.723397
481130094012,-96.851756,32.872678
481130093031,-96.720682,32.723191
481130093032,-96.714884,32.723419
481130093041,-96.691289,32.718457
481130093042,-96.696516,32.716445
481130093043,-96.715762,32.71502
481130093044,-96.7078,32.716425
481130094011,-96.852591,32.865756
481130096031,-96.834111,32.912787
481130094013,-96.85166,32.877866
