"","origin","Jobs","workers","Wieghted_Avg","Job_Perct"
"614",4.8113e+11,3682,1490,5.972112911,0.00901772
"615",4.8113e+11,3871.5,1400,5.900179941,0.008909104
"616",4.8113e+11,4285,1259,5.872655348,0.008867542
"617",4.8113e+11,10046,532,5.817853267,0.008784793
"618",4.8113e+11,4007,1324,5.775176812,0.008720353
"619",4.8113e+11,5998,878,5.7326963,0.008656208
"620",4.8113e+11,3454.5,1524,5.730969821,0.008653601
"621",4.8113e+11,8162,645,5.730786941,0.008653325
"622",4.8113e+11,4940.5,1063,5.716920141,0.008632387
"623",4.8113e+11,3804,1374,5.689645375,0.008591202
"624",4.8113e+11,4710.5,1094,5.609734246,0.008470539
"625",4.8113e+11,6752,758,5.571339153,0.008412563
"626",4.8113e+11,5116.5,999,5.564119186,0.008401662
"627",4.8113e+11,7009,729,5.56213526,0.008398666
"628",4.8113e+11,6343,805,5.558384034,0.008393002
"629",4.8113e+11,6131.5,824,5.499863384,0.008304637
"630",4.8113e+11,7745,651,5.488584669,0.008287607
"631",4.8113e+11,6604,741,5.327006541,0.008043628
"632",4.8113e+11,4987,973,5.282143141,0.007975886
"633",4.8113e+11,7869,612,5.242385153,0.007915852
"634",4.8113e+11,12105.5,397,5.231559829,0.007899506
"635",4.8113e+11,3007,1578,5.165333708,0.007799507
"636",4.8113e+11,5111.5,925,5.146927554,0.007771714
"637",4.8113e+11,4017,1176,5.142414871,0.0077649
"638",4.8113e+11,4668,973,4.944263923,0.007465698
"639",4.8113e+11,8452.5,537,4.941029225,0.007460813
"640",4.8113e+11,5811,780,4.934048744,0.007450273
"641",4.8113e+11,3061,1453,4.841577649,0.007310644
"642",4.8113e+11,5282.5,839,4.824579021,0.007284977
"643",4.8113e+11,2857.5,1533,4.768550117,0.007200375
"644",4.8113e+11,5537,783,4.719481011,0.007126282
"645",4.8113e+11,5147,836,4.684016359,0.007072731
"646",4.8113e+11,3749,1140,4.652412879,0.007025011
"647",4.8113e+11,6791.5,620,4.583691202,0.006921243
"648",4.8113e+11,6778.5,620,4.574917296,0.006907995
"649",4.8113e+11,3702,1134,4.569907678,0.00690043
"650",4.8113e+11,6634,630,4.54960795,0.006869778
"651",4.8113e+11,7321,569,4.534617198,0.006847143
"652",4.8113e+11,10727.5,388,4.530938906,0.006841589
"653",4.8113e+11,8053.5,515,4.514917818,0.006817397
"654",4.8113e+11,4877,848,4.50201114,0.006797909
"655",4.8113e+11,4396,939,4.493463657,0.006785002
"656",4.8113e+11,5471,751,4.472646857,0.006753569
"657",4.8113e+11,4808,849,4.443550362,0.006709635
"658",4.8113e+11,9567,424,4.415700285,0.006667582
"659",4.8113e+11,1995,2026,4.399874596,0.006643685
"660",4.8113e+11,6992,576,4.384114222,0.006619888
"661",4.8113e+11,3940.5,1014,4.349579212,0.006567741
"662",4.8113e+11,3307,1208,4.348696378,0.006566408
"663",4.8113e+11,2201,1813,4.343859844,0.006559105
"664",4.8113e+11,1529,2592,4.314201645,0.006514322
"665",4.8113e+11,3676,1078,4.313722673,0.006513598
"666",4.8113e+11,1821.5,2149,4.261117878,0.006434167
"667",4.8113e+11,3747.5,1040,4.24260831,0.006406218
"668",4.8113e+11,5366,718,4.194044847,0.006332888
"669",4.8113e+11,3695.5,1038,4.175692578,0.006305177
"670",4.8113e+11,8971,425,4.150378878,0.006266954
"671",4.8113e+11,5892,641,4.111295806,0.00620794
"672",4.8113e+11,2982,1251,4.060905715,0.006131852
"673",4.8113e+11,6483,572,4.036732841,0.006095352
"674",4.8113e+11,5044,729,4.002769332,0.006044068
"675",4.8113e+11,5563,656,3.972563581,0.005998458
"676",4.8113e+11,5699.5,633,3.927339318,0.005930171
"677",4.8113e+11,6831,526,3.911361773,0.005906045
"678",4.8113e+11,3987,900,3.906130087,0.005898145
"679",4.8113e+11,25234,142,3.900608839,0.005889808
"680",4.8113e+11,15877,224,3.871456828,0.00584579
"681",4.8113e+11,3946.5,899,3.862155507,0.005831745
"682",4.8113e+11,1972,1795,3.853268933,0.005818326
"683",4.8113e+11,2157,1628,3.822632107,0.005772066
"684",4.8113e+11,3428,1024,3.821190835,0.005769889
"685",4.8113e+11,4606.5,761,3.816046778,0.005762122
"686",4.8113e+11,3350,1046,3.814472156,0.005759744
"687",4.8113e+11,4039,858,3.772411834,0.005696234
"688",4.8113e+11,4459,770,3.737542631,0.005643583
"689",4.8113e+11,4806,713,3.73019258,0.005632485
"690",4.8113e+11,5496,622,3.721303284,0.005619062
"691",4.8113e+11,4042,843,3.709213581,0.005600807
"692",4.8113e+11,3182,1059,3.668209176,0.005538891
"693",4.8113e+11,2243,1498,3.657623882,0.005522908
"694",4.8113e+11,5834,571,3.626272951,0.005475569
"695",4.8113e+11,5379,615,3.601095323,0.005437551
"696",4.8113e+11,1367,2408,3.583298227,0.005410678
"697",4.8113e+11,2374.5,1360,3.515353792,0.005308084
"698",4.8113e+11,2940,1087,3.47884302,0.005252954
"699",4.8113e+11,2435,1289,3.416723545,0.005159155
"700",4.8113e+11,7961,389,3.371127534,0.005090307
"701",4.8113e+11,5799,509,3.213134081,0.004851741
"702",4.8113e+11,3818,771,3.204411337,0.00483857
"703",4.8113e+11,5966.5,493,3.20202355,0.004834964
"704",4.8113e+11,2376,1236,3.196854457,0.004827159
"705",4.8113e+11,5958.5,490,3.17827141,0.004799099
"706",4.8113e+11,3601,805,3.155563756,0.004764811
"707",4.8113e+11,1761,1631,3.126592448,0.004721066
"708",4.8113e+11,6468,444,3.126158107,0.00472041
"709",4.8113e+11,3004,955,3.122922865,0.004715525
"710",4.8113e+11,2661,1075,3.113947572,0.004701972
"711",4.8113e+11,2954,968,3.112746875,0.004700159
"712",4.8113e+11,3848,727,3.045281413,0.004598288
"713",4.8113e+11,2441,1146,3.04516167,0.004598107
"714",4.8113e+11,2679,1035,3.018359889,0.004557637
"715",4.8113e+11,7840.5,353,3.012842452,0.004549306
"716",4.8113e+11,3161.5,873,3.004452812,0.004536638
"717",4.8113e+11,1483.5,1860,3.003713126,0.004535521
"718",4.8113e+11,1867.5,1472,2.992446385,0.004518509
"719",4.8113e+11,2978,917,2.972706184,0.004488702
"720",4.8113e+11,3011,902,2.956482077,0.004464204
"721",4.8113e+11,4738,573,2.955341252,0.004462481
"722",4.8113e+11,5258,516,2.953440601,0.004459611
"723",4.8113e+11,3028,894,2.946804654,0.004449591
"724",4.8113e+11,5212,519,2.944623152,0.004446297
"725",4.8113e+11,4106.5,649,2.901178708,0.004380697
"726",4.8113e+11,6092.5,435,2.884979638,0.004356237
"727",4.8113e+11,2243,1147,2.800597192,0.004228822
"728",4.8113e+11,3623,690,2.721293487,0.004109076
"729",4.8113e+11,10124.5,241,2.65612546,0.004010674
"730",4.8113e+11,3084.5,785,2.635799607,0.003979982
"731",4.8113e+11,2353.5,1027,2.631131801,0.003972934
"732",4.8113e+11,2850,842,2.61225103,0.003944425
"733",4.8113e+11,2712,884,2.609756018,0.003940657
"734",4.8113e+11,2398.5,997,2.603111906,0.003930625
"735",4.8113e+11,3005.5,789,2.581378527,0.003897808
