,year,depart_time,origin,destination,travel_time
760,2018,8:0:00,481130002012,481130079023,1513
762,2018,8:0:00,481130002012,481130079132,851
767,2018,8:0:00,481130002012,481130079032,906
769,2018,8:0:00,481130002012,481130079062,1775
770,2018,8:0:00,481130002012,481130079091,1236
771,2018,8:0:00,481130002012,481130079092,1393
773,2018,8:0:00,481130002012,481130079102,1428
776,2018,8:0:00,481130002012,481130079121,1402
777,2018,8:0:00,481130002012,481130079122,1278
778,2018,8:0:00,481130002012,481130079131,926
793,2018,8:0:00,481130002013,481130001002,1687
794,2018,8:0:00,481130002013,481130001003,1718
795,2018,8:0:00,481130002013,481130002011,1256
796,2018,8:0:00,481130002013,481130002012,664
797,2018,8:0:00,481130002013,481130002013,98
798,2018,8:0:00,481130002013,481130002021,692
799,2018,8:0:00,481130002013,481130002022,820
800,2018,8:0:00,481130002013,481130002023,881
801,2018,8:0:00,481130002013,481130003001,1366
802,2018,8:0:00,481130002013,481130009004,1487
803,2018,8:0:00,481130002013,481130003002,1454
804,2018,8:0:00,481130002013,481130003003,1675
825,2018,8:0:00,481130002013,481130008004,1320
826,2018,8:0:00,481130002013,481130008005,1520
829,2018,8:0:00,481130002013,481130009003,1607
830,2018,8:0:00,481130002013,481130010011,1721
833,2018,8:0:00,481130002013,481130010022,1587
834,2018,8:0:00,481130002013,481130011011,1072
835,2018,8:0:00,481130002013,481130011012,1090
836,2018,8:0:00,481130002013,481130011013,960
842,2018,8:0:00,481130002013,481130011022,864
843,2018,8:0:00,481130002013,481130011021,602
845,2018,8:0:00,481130002013,481130011023,1101
849,2018,8:0:00,481130002013,481130012032,1734
850,2018,8:0:00,481130002013,481130012041,1618
852,2018,8:0:00,481130002013,481130013011,1268
853,2018,8:0:00,481130002013,481130014002,916
854,2018,8:0:00,481130002013,481130013012,1081
855,2018,8:0:00,481130002013,481130013013,1028
856,2018,8:0:00,481130002013,481130013021,1133
857,2018,8:0:00,481130002013,481130013022,1161
858,2018,8:0:00,481130002013,481130013023,1387
859,2018,8:0:00,481130002013,481130014001,953
860,2018,8:0:00,481130002013,481130014004,1091
861,2018,8:0:00,481130002013,481130015021,1612
862,2018,8:0:00,481130002013,481130014003,822
863,2018,8:0:00,481130002013,481130015044,1161
864,2018,8:0:00,481130002013,481130015022,1569
865,2018,8:0:00,481130002013,481130015023,1320
866,2018,8:0:00,481130002013,481130015024,1303
867,2018,8:0:00,481130002013,481130015031,1056
868,2018,8:0:00,481130002013,481130015032,1132
869,2018,8:0:00,481130002013,481130015033,1176
870,2018,8:0:00,481130002013,481130015041,854
871,2018,8:0:00,481130002013,481130015042,926
872,2018,8:0:00,481130002013,481130015043,1128
873,2018,8:0:00,481130002013,481130016001,1628
874,2018,8:0:00,481130002013,481130079133,1285
875,2018,8:0:00,481130002013,481130079141,987
876,2018,8:0:00,481130002013,481130079142,997
877,2018,8:0:00,481130002013,481130080001,1755
879,2018,8:0:00,481130002013,481130080003,1603
881,2018,8:0:00,481130002013,481130080005,1297
882,2018,8:0:00,481130002013,481130080006,830
887,2018,8:0:00,481130002013,481130016002,1736
893,2018,8:0:00,481130002013,481130024003,1562
901,2018,8:0:00,481130002013,481130022001,1304
902,2018,8:0:00,481130002013,481130022002,1787
903,2018,8:0:00,481130002013,481130024001,1146
904,2018,8:0:00,481130002013,481130024002,1599
908,2018,8:0:00,481130002013,481130031011,1684
944,2018,8:0:00,481130002013,481130079132,1061
949,2018,8:0:00,481130002013,481130079032,1116
952,2018,8:0:00,481130002013,481130079091,1446
953,2018,8:0:00,481130002013,481130079092,1603
955,2018,8:0:00,481130002013,481130079102,1638
958,2018,8:0:00,481130002013,481130079121,1612
959,2018,8:0:00,481130002013,481130079122,1488
960,2018,8:0:00,481130002013,481130079131,1136
977,2018,8:0:00,481130002021,481130002011,983
978,2018,8:0:00,481130002021,481130002012,822
979,2018,8:0:00,481130002021,481130002013,692
980,2018,8:0:00,481130002021,481130002021,16
981,2018,8:0:00,481130002021,481130002022,1019
982,2018,8:0:00,481130002021,481130002023,413
983,2018,8:0:00,481130002021,481130003001,914
984,2018,8:0:00,481130002021,481130009004,1329
985,2018,8:0:00,481130002021,481130003002,1183
986,2018,8:0:00,481130002021,481130003003,1158
1014,2018,8:0:00,481130002021,481130007021,1621
1016,2018,8:0:00,481130002021,481130007023,1796
1019,2018,8:0:00,481130002021,481130008003,1676
1020,2018,8:0:00,481130002021,481130008004,1534
1021,2018,8:0:00,481130002021,481130008005,1368
1023,2018,8:0:00,481130002021,481130009002,1512
1024,2018,8:0:00,481130002021,481130009003,1289
1025,2018,8:0:00,481130002021,481130010011,1040
1026,2018,8:0:00,481130002021,481130010012,1257
1027,2018,8:0:00,481130002021,481130010021,1550
1028,2018,8:0:00,481130002021,481130010022,892
1029,2018,8:0:00,481130002021,481130011011,488
1030,2018,8:0:00,481130002021,481130011012,404
1031,2018,8:0:00,481130002021,481130011013,585
1038,2018,8:0:00,481130002021,481130011022,1295
1039,2018,8:0:00,481130002021,481130011021,1032
1040,2018,8:0:00,481130002021,481130193021,1754
1042,2018,8:0:00,481130002021,481130011023,788
1050,2018,8:0:00,481130002021,481130013011,1673
1051,2018,8:0:00,481130002021,481130014002,764
1052,2018,8:0:00,481130002021,481130013012,1612
1053,2018,8:0:00,481130002021,481130013013,1285
1054,2018,8:0:00,481130002021,481130013021,1578
1055,2018,8:0:00,481130002021,481130013022,1009
1056,2018,8:0:00,481130002021,481130013023,1235
1057,2018,8:0:00,481130002021,481130014001,933
1060,2018,8:0:00,481130002021,481130014004,1147
1061,2018,8:0:00,481130002021,481130015021,1512
1062,2018,8:0:00,481130002021,481130014003,802
1063,2018,8:0:00,481130002021,481130015044,1009
1064,2018,8:0:00,481130002021,481130015022,1531
1065,2018,8:0:00,481130002021,481130015023,1640
1067,2018,8:0:00,481130002021,481130015031,823
