GEOID,F1,F2,F3,F4,F5,F6,Number of Records
481130181111,618,717,48,113,018111,1,1
481130181302,619,1490,48,113,018130,2,1
481130181301,620,823,48,113,018130,1,1
481130183002,621,166,48,113,018300,2,1
481130110015,622,251,48,113,011001,5,1
481130110011,623,445,48,113,011001,1,1
481130110014,624,649,48,113,011001,4,1
481130110012,625,565,48,113,011001,2,1
481130110013,626,669,48,113,011001,3,1
481130110016,627,503,48,113,011001,6,1
481130122062,628,540,48,113,012206,2,1
481130122063,629,684,48,113,012206,3,1
481130122061,630,1235,48,113,012206,1,1
481130125003,631,1143,48,113,012500,3,1
481130125005,632,870,48,113,012500,5,1
481130125004,633,462,48,113,012500,4,1
481130125002,634,551,48,113,012500,2,1
481130125001,635,1115,48,113,012500,1,1
481130130071,636,1131,48,113,013007,1,1
481130130072,637,454,48,113,013007,2,1
481130130073,638,438,48,113,013007,3,1
481130136052,639,535,48,113,013605,2,1
481130162023,640,844,48,113,016202,3,1
481130162024,641,961,48,113,016202,4,1
481130163022,642,527,48,113,016302,2,1
481130163021,643,474,48,113,016302,1,1
481130164013,644,583,48,113,016401,3,1
481130164011,645,3899,48,113,016401,1,1
481130164012,646,1368,48,113,016401,2,1
481130164113,647,743,48,113,016411,3,1
481130164114,648,737,48,113,016411,4,1
481130164112,649,1813,48,113,016411,2,1
481130164111,650,1237,48,113,016411,1,1
481130165142,651,766,48,113,016514,2,1
481130165141,652,685,48,113,016514,1,1
481130166111,653,2573,48,113,016611,1,1
481130166113,654,351,48,113,016611,3,1
481130090005,655,1158,48,113,009000,5,1
481130096033,656,1246,48,113,009603,3,1
481130096031,657,523,48,113,009603,1,1
481130097021,658,595,48,113,009702,1,1
481130097022,659,1244,48,113,009702,2,1
481130152021,660,816,48,113,015202,1,1
481130144032,661,444,48,113,014403,2,1
481130144031,662,812,48,113,014403,1,1
481130152022,663,1104,48,113,015202,2,1
481130153031,664,798,48,113,015303,1,1
481130153032,665,190,48,113,015303,2,1
481130154032,666,449,48,113,015403,2,1
481130154031,667,316,48,113,015403,1,1
481130154033,668,970,48,113,015403,3,1
481130004012,669,993,48,113,000401,2,1
481130004011,670,1219,48,113,000401,1,1
481130004013,671,712,48,113,000401,3,1
481130005002,672,1307,48,113,000500,2,1
481130005001,673,685,48,113,000500,1,1
481130005004,674,870,48,113,000500,4,1
481130080002,675,541,48,113,008000,2,1
481130080006,676,651,48,113,008000,6,1
481130080003,677,570,48,113,008000,3,1
481130080001,678,729,48,113,008000,1,1
481130080005,679,390,48,113,008000,5,1
481130080004,680,426,48,113,008000,4,1
481130084002,681,534,48,113,008400,2,1
481130084001,682,440,48,113,008400,1,1
481130084005,683,396,48,113,008400,5,1
481130084006,684,647,48,113,008400,6,1
481130084004,685,688,48,113,008400,4,1
