,origin,Jobs,
332,4.81E+11,23898,0.104806807
333,4.81E+11,22157,0.097273446
334,4.81E+11,38067,0.167284096
335,4.81E+11,42148.5,0.185530468
336,4.81E+11,51775,0.228328288
337,4.81E+11,52341,0.231352598
338,4.81E+11,49990.5,0.221475536
339,4.81E+11,77384,0.343599385
340,4.81E+11,100784,0.449042654
341,4.81E+11,37776,0.169069993
342,4.81E+11,6583,0.029512724
343,4.81E+11,81806,0.366858678
344,4.81E+11,6935,0.031214493
345,4.81E+11,14282,0.064303473
346,4.81E+11,78968,0.355775383
347,4.81E+11,36904,0.166857628
348,4.81E+11,74141.5,0.335783422
349,4.81E+11,53403,0.242674576
350,4.81E+11,38711,0.176338937
351,4.81E+11,5927,0.027046761
352,4.81E+11,11711,0.053455426
353,4.81E+11,38333,0.175066415
354,4.81E+11,36003,0.164713687
355,4.81E+11,110284.5,0.505383908
356,4.81E+11,87356,0.402346373
357,4.81E+11,23912,0.110579379
358,4.81E+11,14516,0.067202543
359,4.81E+11,50644.5,0.234618899
360,4.81E+11,48434,0.22490607
361,4.81E+11,51010,0.237401805
362,4.81E+11,41404,0.193153793
363,4.81E+11,44958,0.210139451
364,4.81E+11,60555,0.283637861
365,4.81E+11,48215.5,0.226482391
366,4.81E+11,100126,0.471388898
367,4.81E+11,60169.5,0.284617069
368,4.81E+11,31786,0.150785041
369,4.81E+11,40918,0.194398147
370,4.81E+11,44968,0.214055494
371,4.81E+11,37058.5,0.176783314
372,4.81E+11,51010,0.243768282
373,4.81E+11,44198.5,0.211733398
374,4.81E+11,47605.5,0.228538562
375,4.81E+11,42490.5,0.204450354
376,4.81E+11,27520.5,0.132690909
377,4.81E+11,48434,0.233836251
378,4.81E+11,42450.5,0.205428663
379,4.81E+11,18498.5,0.089703177
380,4.81E+11,18003,0.087378774
381,4.81E+11,10659,0.051779419
382,4.81E+11,19838,0.096419201
383,4.81E+11,36430,0.177232662
384,4.81E+11,19644,0.095738123
385,4.81E+11,52480,0.256014637
386,4.81E+11,45690,0.223462889
387,4.81E+11,73021,0.357934533
388,4.81E+11,36147,0.177821948
389,4.81E+11,42652,0.210196491
390,4.81E+11,8103,0.040017111
391,4.81E+11,18225.5,0.090043667
392,4.81E+11,17100,0.084559238
393,4.81E+11,148382,0.734367695
394,4.81E+11,21518,0.107284093
395,4.81E+11,141920,0.708342356
396,4.81E+11,132465,0.665867766
397,4.81E+11,63892.5,0.323324212
398,4.81E+11,139039,0.705880908
399,4.81E+11,65422.5,0.334501761
400,4.81E+11,80724.5,0.414125329
401,4.81E+11,70016.5,0.360685834
402,4.81E+11,71378.5,0.369033146
403,4.81E+11,53148.5,0.275800231
404,4.81E+11,61794,0.321550628
