GeoId	0	Worker	state	county	tract	block group
481130122102	236	1511	48	113	12210	2
481130164074	237	745	48	113	16407	4
481130166071	238	936	48	113	16607	1
481130166072	239	320	48	113	16607	2
481130151001	240	642	48	113	15100	1
481130002011	241	713	48	113	201	1
481130002013	242	474	48	113	201	3
481130002012	243	729	48	113	201	2
481130012032	244	540	48	113	1203	2
481130012031	245	374	48	113	1203	1
481130015021	246	538	48	113	1502	1
481130015024	247	732	48	113	1502	4
481130015022	248	361	48	113	1502	2
481130015023	249	309	48	113	1502	3
481130022001	250	1206	48	113	2200	1
481130022002	251	439	48	113	2200	2
481130024001	252	278	48	113	2400	1
481130024003	253	482	48	113	2400	3
481130024002	254	804	48	113	2400	2
481130031011	255	1635	48	113	3101	1
481130034002	256	373	48	113	3400	2
481130034001	257	235	48	113	3400	1
481130039012	258	318	48	113	3901	2
481130053005	259	883	48	113	5300	5
481130053003	260	402	48	113	5300	3
481130053002	261	967	48	113	5300	2
481130053004	262	642	48	113	5300	4
481130053001	263	665	48	113	5300	1
481130181182	264	844	48	113	18118	2
481130181183	265	1145	48	113	18118	3
481130181181	266	361	48	113	18118	1
481130181292	267	1072	48	113	18129	2
481130181291	268	1242	48	113	18129	1
481130190181	269	1054	48	113	19018	1
481130190182	270	790	48	113	19018	2
481130019001	271	2308	48	113	1900	1
481130043001	272	500	48	113	4300	1
481130043002	273	161	48	113	4300	2
481130043003	274	411	48	113	4300	3
481130060021	275	1508	48	113	6002	1
481130060023	276	535	48	113	6002	3
481130190332	277	554	48	113	19033	2
481130060022	278	585	48	113	6002	2
481130190331	279	645	48	113	19033	1
481130190333	280	1210	48	113	19033	3
481130194001	281	361	48	113	19400	1
481130194003	282	1020	48	113	19400	3
481130194002	283	576	48	113	19400	2
481130158001	284	312	48	113	15800	1
481130158002	285	696	48	113	15800	2
481130160014	286	400	48	113	16001	4
481130160012	287	262	48	113	16001	2
481130160011	288	515	48	113	16001	1
481130160013	289	688	48	113	16001	3
481130162021	290	1077	48	113	16202	1
481130162022	291	505	48	113	16202	2
481130161002	292	525	48	113	16100	2
481130010011	293	637	48	113	1001	1
481130010012	294	426	48	113	1001	2
481130015043	295	451	48	113	1504	3
481130015041	296	545	48	113	1504	1
481130015042	297	178	48	113	1504	2
481130015044	298	223	48	113	1504	4
481130016002	299	834	48	113	1600	2
481130016001	300	1990	48	113	1600	1
481130017011	301	406	48	113	1701	1
481130140021	302	15	48	113	14002	1
481130141231	303	1344	48	113	14123	1
481130141232	304	767	48	113	14123	2
481130141233	305	730	48	113	14123	3
481130141234	306	503	48	113	14123	4
481130153061	307	521	48	113	15306	1
481130153063	308	704	48	113	15306	3
481130153062	309	1571	48	113	15306	2
481130162013	310	690	48	113	16201	3
481130162011	311	1101	48	113	16201	1
481130162012	312	364	48	113	16201	2
481130164081	313	1462	48	113	16408	1
481130164083	314	560	48	113	16408	3
481130164082	315	1059	48	113	16408	2
481130164084	316	1234	48	113	16408	4
481130165102	317	1968	48	113	16510	2
481130165101	318	1878	48	113	16510	1
481130165163	319	265	48	113	16516	3
481130165164	320	775	48	113	16516	4
481130165162	321	421	48	113	16516	2
481130165165	322	477	48	113	16516	5
481130165161	323	645	48	113	16516	1
481130166052	324	1922	48	113	16605	2
481130181101	325	826	48	113	18110	1
481130181103	326	530	48	113	18110	3
481130181102	327	1093	48	113	18110	2
481130184031	328	624	48	113	18403	1
481130190193	329	654	48	113	19019	3
481130190191	330	1629	48	113	19019	1
481130190192	331	941	48	113	19019	2
481130190216	332	749	48	113	19021	6
