0,workforce,state,county,tract,block group
368,555,48,113,005901,4
369,519,48,113,005901,5
370,732,48,113,005901,6
371,849,48,113,005901,3
372,526,48,113,005901,2
373,1082,48,113,005901,1
374,1397,48,113,006001,2
375,545,48,113,006001,1
376,1047,48,113,006001,3
377,1427,48,113,006302,1
378,577,48,113,019013,1
379,1091,48,113,019013,2
380,1411,48,113,019013,4
381,710,48,113,019013,3
382,1055,48,113,019100,1
383,1535,48,113,019100,4
384,798,48,113,019100,2
385,625,48,113,019100,5
386,1006,48,113,019100,3
387,1005,48,113,009611,1
388,1190,48,113,009611,2
389,818,48,113,009611,3
390,774,48,113,019036,3
391,578,48,113,019036,1
392,1090,48,113,019036,2
393,1581,48,113,016804,2
394,2515,48,113,016804,3
395,2196,48,113,016804,1
396,1448,48,113,018206,1
397,894,48,113,018206,2
398,358,48,113,018206,4
399,734,48,113,018206,3
400,917,48,113,009201,5
401,1620,48,113,009201,1
402,1186,48,113,009303,1
403,839,48,113,009303,2
404,1127,48,113,009303,3
405,7923,48,113,010000,1
406,2012,48,113,010000,2
407,1050,48,113,010101,1
408,768,48,113,010101,2
409,1806,48,113,010101,3
410,1134,48,113,010803,3
411,571,48,113,010803,2
412,1766,48,113,010803,5
413,1200,48,113,010803,6
414,365,48,113,010803,4
415,630,48,113,010803,1
416,842,48,113,011002,2
417,649,48,113,011002,3
418,1390,48,113,011002,1
419,1001,48,113,011101,3
420,1374,48,113,011101,1
421,1078,48,113,011101,2
422,1968,48,113,014124,1
423,1130,48,113,014124,2
424,2980,48,113,018104,2
425,2740,48,113,018104,1
426,1797,48,113,018120,1
427,2001,48,113,018120,2
428,1469,48,113,018123,3
429,2402,48,113,018123,2
430,3020,48,113,018123,1
431,788,48,113,018124,4
432,5735,48,113,018124,1
433,906,48,113,006302,2
434,1053,48,113,006302,3
435,992,48,113,006800,3
436,1222,48,113,006800,1
437,2036,48,113,006800,2
438,988,48,113,007102,2
439,1125,48,113,007102,1
440,612,48,113,007102,5
441,1190,48,113,007102,4
442,538,48,113,007102,3
443,1396,48,113,007201,3
444,444,48,113,007201,4
445,1424,48,113,007201,1
446,1585,48,113,007201,5
447,727,48,113,007201,2
448,697,48,113,007801,2
449,1241,48,113,007801,1
450,1156,48,113,008100,4
451,836,48,113,008100,2
452,1638,48,113,008100,1
453,1030,48,113,008100,3
454,664,48,113,008100,5
455,709,48,113,008500,1
456,818,48,113,008500,2
457,741,48,113,013609,3
458,1413,48,113,013609,1
459,577,48,113,013609,2
460,1044,48,113,014405,1
461,902,48,113,014405,3
462,613,48,113,001202,2
463,989,48,113,014405,2
464,397,48,113,001202,3
465,1970,48,113,001202,1
466,142,48,113,019035,1
467,859,48,113,019501,2
468,1411,48,113,019501,3
469,1001,48,113,019501,4
470,474,48,113,019501,5
471,1214,48,113,019501,1
472,1214,48,113,019004,6
473,714,48,113,019004,1
474,1193,48,113,019004,5
475,1189,48,113,019004,2
476,616,48,113,019004,3
477,767,48,113,019004,4
478,697,48,113,019205,2
479,1064,48,113,011105,2
480,581,48,113,011105,3
481,1479,48,113,011105,1
482,1151,48,113,011601,2
483,520,48,113,011601,3
484,1533,48,113,011601,1
485,1432,48,113,012208,1
486,717,48,113,012211,1
487,940,48,113,012211,2
488,1461,48,113,012211,3
489,1055,48,113,012400,4
490,388,48,113,012400,5
491,1400,48,113,012400,1
492,772,48,113,012400,6
493,428,48,113,012400,3
494,515,48,113,012400,2
495,1308,48,113,012900,1
496,656,48,113,012900,3
497,493,48,113,012900,2
498,848,48,113,012900,5
499,713,48,113,012900,4
500,1375,48,113,012800,2
501,1141,48,113,012800,6
502,782,48,113,012800,5
503,1242,48,113,012800,3
504,960,48,113,012800,1
505,876,48,113,012800,4
506,1747,48,113,013725,1
507,391,48,113,013725,2
508,1064,48,113,013804,2
509,1248,48,113,013804,3
510,485,48,113,013804,1
511,882,48,113,014116,2
512,151,48,113,014116,4
513,1044,48,113,014116,1
514,764,48,113,014116,3
515,2074,48,113,018204,2
516,1164,48,113,018204,1
517,1693,48,113,018402,3
518,1583,48,113,018402,1
519,560,48,113,018402,2
520,2184,48,113,019014,1
521,1065,48,113,006200,3
522,889,48,113,006200,1
523,717,48,113,006200,5
524,1443,48,113,006200,4
525,1092,48,113,019025,1
526,1186,48,113,019025,2
527,1494,48,113,019034,1
528,2239,48,113,019034,2
529,1222,48,113,019202,5
530,494,48,113,019202,4
531,430,48,113,019202,1
532,785,48,113,019202,2
533,946,48,113,019202,3
534,693,48,113,013009,1
535,1326,48,113,013009,2
536,1453,48,113,013009,3
537,994,48,113,013200,4
538,1374,48,113,013200,1
539,1254,48,113,013200,3
540,2233,48,113,013200,2
541,2204,48,113,013606,1
542,1684,48,113,013606,3
543,846,48,113,013606,2
544,1104,48,113,013608,2
545,935,48,113,013608,1
546,2193,48,113,013616,1
547,2513,48,113,013616,2
548,1813,48,113,013619,1
549,1347,48,113,013619,2
550,1071,48,113,013619,3
551,1151,48,113,013714,1
552,1408,48,113,013714,4
553,1128,48,113,013714,2
554,999,48,113,014116,5
555,1322,48,113,014120,3
556,1102,48,113,014120,2
557,1697,48,113,014120,1
558,873,48,113,014307,4
559,599,48,113,014307,2
560,710,48,113,014307,3
561,651,48,113,014307,5
562,644,48,113,014307,1
563,1731,48,113,014407,1
564,1296,48,113,014407,3
565,857,48,113,014407,2
566,972,48,113,014901,1
567,2306,48,113,015304,2
568,393,48,113,015304,1
569,1313,48,113,016406,1
570,827,48,113,016406,3
571,930,48,113,016406,2
572,733,48,113,016406,4
573,892,48,113,016509,5
574,464,48,113,016509,4
575,803,48,113,016509,3
576,721,48,113,002100,1
577,364,48,113,004100,2
578,960,48,113,019600,1
579,739,48,113,019600,2
580,1292,48,113,019800,1
581,651,48,113,019800,4
582,656,48,113,019800,2
583,1096,48,113,019800,3
584,765,48,113,000202,1
585,1016,48,113,000202,2
586,1393,48,113,009401,1
587,645,48,113,009401,3
588,884,48,113,009401,2
589,1039,48,113,012204,3
590,378,48,113,012204,2
591,1780,48,113,012204,5
592,1760,48,113,012204,4
593,589,48,113,012204,1
594,772,48,113,013713,1
595,1600,48,113,017001,5
596,2606,48,113,017001,2
597,1558,48,113,017001,3
598,297,48,113,017001,1
599,1529,48,113,017001,4
600,570,48,113,017703,3
601,1040,48,113,017703,1
602,746,48,113,017703,2
603,1298,48,113,017703,4
604,0,48,113,007810,1
605,1069,48,113,007810,2
606,973,48,113,007810,3
607,1516,48,113,007810,4
608,2639,48,113,017304,3
609,671,48,113,017304,1
610,2706,48,113,017304,2
611,2217,48,113,017305,1
612,5423,48,113,017305,2
613,832,48,113,017604,1
614,1336,48,113,017604,2
615,1661,48,113,018111,4
616,1328,48,113,018111,3
617,544,48,113,018111,2
618,1089,48,113,018111,1
619,1989,48,113,018130,2
620,1050,48,113,018130,1
621,382,48,113,018300,2
622,907,48,113,011001,5
623,716,48,113,011001,1
624,1140,48,113,011001,4
625,1073,48,113,011001,2
626,1316,48,113,011001,3
627,769,48,113,011001,6
628,679,48,113,012206,2
629,1151,48,113,012206,3
630,1891,48,113,012206,1
631,1788,48,113,012500,3
632,1176,48,113,012500,5
633,789,48,113,012500,4
634,690,48,113,012500,2
635,1490,48,113,012500,1
636,1653,48,113,013007,1
637,585,48,113,013007,2
638,664,48,113,013007,3
639,858,48,113,013605,2
640,1418,48,113,016202,3
641,1353,48,113,016202,4
642,783,48,113,016302,2
643,772,48,113,016302,1
644,848,48,113,016401,3
645,5274,48,113,016401,1
646,1786,48,113,016401,2
647,1082,48,113,016411,3
648,1225,48,113,016411,4
649,2582,48,113,016411,2
650,1814,48,113,016411,1
651,1492,48,113,016514,2
652,1205,48,113,016514,1
653,3289,48,113,016611,1
654,568,48,113,016611,3
655,1831,48,113,009000,5
656,1675,48,113,009603,3
657,763,48,113,009603,1
658,770,48,113,009702,1
659,1703,48,113,009702,2
660,1045,48,113,015202,1
661,516,48,113,014403,2
662,951,48,113,014403,1
663,1670,48,113,015202,2
664,1129,48,113,015303,1
665,341,48,113,015303,2
666,821,48,113,015403,2
667,443,48,113,015403,1
668,1308,48,113,015403,3
669,1412,48,113,000401,2
670,2325,48,113,000401,1
671,1055,48,113,000401,3
672,1645,48,113,000500,2
673,750,48,113,000500,1
674,944,48,113,000500,4
675,771,48,113,008000,2
676,1126,48,113,008000,6
677,939,48,113,008000,3
678,1059,48,113,008000,1
679,622,48,113,008000,5
680,696,48,113,008000,4
681,973,48,113,008400,2
682,706,48,113,008400,1
683,998,48,113,008400,5
684,1259,48,113,008400,6
685,1094,48,113,008400,4
686,532,48,113,008400,7
687,1024,48,113,008400,3
688,575,48,113,008701,4
689,734,48,113,008701,1
690,577,48,113,008701,2
691,751,48,113,008701,5
692,408,48,113,008701,3
693,1236,48,113,008703,2
694,997,48,113,008703,1
695,1629,48,113,009000,2
696,771,48,113,009000,3
697,907,48,113,009000,4
698,727,48,113,009000,1
699,1527,48,113,009104,2
700,1208,48,113,009104,1
701,1188,48,113,009301,3
702,887,48,113,009301,2
703,1562,48,113,009301,1
704,576,48,113,009609,4
705,693,48,113,009609,3
706,536,48,113,009609,2
707,509,48,113,009609,1
708,633,48,113,009804,2
709,1720,48,113,009804,1
710,1716,48,113,009804,3
711,1244,48,113,010102,2
712,743,48,113,010102,3
713,423,48,113,010102,1
714,2136,48,113,010704,1
715,1010,48,113,011702,1
716,609,48,113,011103,1
717,1179,48,113,011103,3
718,944,48,113,011103,2
719,2014,48,113,011702,2
720,1035,48,113,011702,3
721,1076,48,113,012100,1
722,1981,48,113,012302,2
723,1030,48,113,014501,2
724,798,48,113,014501,3
725,1420,48,113,015305,2
726,999,48,113,015305,1
727,950,48,113,015305,3
728,1354,48,113,015401,1
729,1087,48,113,013605,4
730,1309,48,113,013605,1
731,1224,48,113,013605,3
732,1743,48,113,013711,2
733,754,48,113,013711,1
734,835,48,113,013712,2
735,1143,48,113,013712,1
736,1401,48,113,018700,5
737,425,48,113,018700,2
738,457,48,113,018802,1
739,775,48,113,019028,2
740,691,48,113,019028,3
741,1411,48,113,019028,1
742,2079,48,113,018132,1
743,1281,48,113,018132,3
744,704,48,113,018132,2
745,1091,48,113,018501,3
746,1352,48,113,018501,1
747,673,48,113,018501,2
748,625,48,113,018801,3
749,586,48,113,018801,4
750,811,48,113,018801,1
751,1616,48,113,018801,2
752,626,48,113,019026,5
753,798,48,113,019026,3
754,1381,48,113,019026,4
755,1206,48,113,019026,1
756,680,48,113,019026,2
757,1007,48,113,009803,1
758,224,48,113,009803,2
