Aland	Awater	Blkgrpce	Countyfp	Funcstat	Geoid	Geometry	Intptlat	Intptlon	Mtfcc	Namelsad	Number of Records	Statefp	Tractce
803396	0	1	113	S	4.8113E+11	POLYGON	32.9550773	-96.7363715	G5030	Block Group 1	1	48	19203
679419	0	3	113	S	4.8113E+11	POLYGON	32.9482259	-96.7495907	G5030	Block Group 3	1	48	19202
949774	0	3	113	S	4.8113E+11	POLYGON	32.9566137	-96.747656	G5030	Block Group 3	1	48	19203
913843	0	2	113	S	4.8113E+11	POLYGON	32.818587	-96.9699311	G5030	Block Group 2	1	48	15202
457435	0	2	113	S	4.8113E+11	POLYGON	32.8394732	-96.5844863	G5030	Block Group 2	1	48	18132
626198	0	1	113	S	4.8113E+11	POLYGON	32.8966273	-96.6070315	G5030	Block Group 1	1	48	18203
512384	0	3	113	S	4.8113E+11	POLYGON	32.8348496	-96.6535921	G5030	Block Group 3	1	48	18001
523233	0	4	113	S	4.8113E+11	POLYGON	32.8288694	-96.6486153	G5030	Block Group 4	1	48	18001
2624216	0	1	113	S	4.8113E+11	POLYGON	32.7993354	-96.7343818	G5030	Block Group 1	1	48	1202
415844	0	2	113	S	4.8113E+11	POLYGON	32.8059963	-96.7405777	G5030	Block Group 2	1	48	1202
168489	0	3	113	S	4.8113E+11	POLYGON	32.8074842	-96.7367571	G5030	Block Group 3	1	48	1202
278913	0	1	113	S	4.8113E+11	POLYGON	32.8031314	-96.7430431	G5030	Block Group 1	1	48	1203
200471	0	2	113	S	4.8113E+11	POLYGON	32.8019186	-96.7455192	G5030	Block Group 2	1	48	1203
369081	0	2	113	S	4.8113E+11	POLYGON	32.8093061	-96.7490265	G5030	Block Group 2	1	48	1301
417550	0	1	113	S	4.8113E+11	POLYGON	32.8038806	-96.7525685	G5030	Block Group 1	1	48	1301
161550	0	1	113	S	4.8113E+11	POLYGON	32.8006216	-96.7593992	G5030	Block Group 1	1	48	1302
476980	0	2	113	S	4.8113E+11	POLYGON	32.791833	-96.7711975	G5030	Block Group 2	1	48	1502
160331	0	3	113	S	4.8113E+11	POLYGON	32.7944632	-96.7668568	G5030	Block Group 3	1	48	1502
613667	0	1	113	S	4.8113E+11	POLYGON	32.7946955	-96.7883796	G5030	Block Group 1	1	48	1600
603859	0	2	113	S	4.8113E+11	POLYGON	32.7607426	-96.8128174	G5030	Block Group 2	1	48	2000
300435	0	3	113	S	4.8113E+11	POLYGON	32.7535478	-96.811925	G5030	Block Group 3	1	48	2000
533135	0	2	113	S	4.8113E+11	POLYGON	32.8101801	-96.7890106	G5030	Block Group 2	1	48	800
204930	0	5	113	S	4.8113E+11	POLYGON	32.8056032	-96.7799187	G5030	Block Group 5	1	48	800
378279	0	1	113	S	4.8113E+11	POLYGON	32.8172846	-96.7852125	G5030	Block Group 1	1	48	900
207983	0	3	113	S	4.8113E+11	POLYGON	32.8113282	-96.776326	G5030	Block Group 3	1	48	900
710287	0	3	113	S	4.8113E+11	POLYGON	32.7711032	-96.7153402	G5030	Block Group 3	1	48	8400
836472	0	1	113	S	4.8113E+11	POLYGON	32.6876052	-96.7753228	G5030	Block Group 1	1	48	8705
213128	0	4	113	S	4.8113E+11	POLYGON	32.8095831	-96.778215	G5030	Block Group 4	1	48	900
377191	0	1	113	S	4.8113E+11	POLYGON	32.8204675	-96.7737893	G5030	Block Group 1	1	48	1001
204868	0	1	113	S	4.8113E+11	POLYGON	32.8109352	-96.7685248	G5030	Block Group 1	1	48	1101
366759	0	3	113	S	4.8113E+11	POLYGON	32.8150208	-96.7577372	G5030	Block Group 3	1	48	1102
690521	0	1	113	S	4.8113E+11	POLYGON	32.850478	-96.7357733	G5030	Block Group 1	1	48	7902
343921	0	3	113	S	4.8113E+11	POLYGON	32.8125108	-96.9736873	G5030	Block Group 3	1	48	15205
1011987	0	1	113	S	4.8113E+11	POLYGON	32.7980363	-97.0248187	G5030	Block Group 1	1	48	15303
179239	0	4	113	S	4.8113E+11	POLYGON	32.8098164	-96.8120452	G5030	Block Group 4	1	48	500
510358	0	2	113	S	4.8113E+11	POLYGON	32.8351108	-96.806869	G5030	Block Group 2	1	48	19800
200028	0	2	113	S	4.8113E+11	POLYGON	32.7956341	-96.7964833	G5030	Block Group 2	1	48	1703
643011	0	2	113	S	4.8113E+11	POLYGON	32.756632	-96.746872	G5030	Block Group 2	1	48	3901
120891	0	2	113	S	4.8113E+11	POLYGON	32.818961	-96.9320093	G5030	Block Group 2	1	48	14703
472769	0	2	113	S	4.8113E+11	POLYGON	32.892602	-96.6558783	G5030	Block Group 2	1	48	18501
550204	0	3	113	S	4.8113E+11	POLYGON	32.8857672	-96.6581813	G5030	Block Group 3	1	48	18501
239357	0	2	113	S	4.8113E+11	POLYGON	32.9043204	-96.7192753	G5030	Block Group 2	1	48	18503
2213015	2047039	4	113	S	4.8113E+11	POLYGON	32.8374456	-96.7280615	G5030	Block Group 4	1	48	8000
