origin,Jobs,%_accesible
481130043002,221109,41.58537067024764
481130043003,246444,46.35028465353518
481130044001,258223,48.56563582026673
481130044002,234449,44.094308998136164
481130044003,273041,51.35255097338908
481130045001,241035,45.33297974982086
481130045002,204903,38.537405562169575
481130045003,204903,38.537405562169575
481130045004,211660,39.808237367382674
481130046001,240101,45.157316451601375
481130046002,243069,45.71552701810611
481130047001,240976,45.321883245971875
481130047002,240976,45.321883245971875
481130047003,240976,45.321883245971875
481130048001,240843,45.296869093227556
481130048002,244385,45.963035476839345
481130048003,204209,38.40688058469171
481130048004,199246,37.47345772702224
481130049001,126269,23.748210923849772
481130049002,165129,31.056857357264168
481130049003,165600,31.1454413117196
481130049004,165600,31.1454413117196
481130050001,204964,38.5488782186914
481130050002,204964,38.5488782186914
481130050003,197233,37.09486006180188
481130051001,204342,38.43189473743603
481130051002,233505,43.91676493655245
481130052001,239773,45.09562741325449
481130052002,206315,38.80296934919945
481130052003,206297,38.79958397514383
481130052004,203213,38.219556553613984
481130053001,206315,38.80296934919945
481130053002,206297,38.79958397514383
481130053003,206297,38.79958397514383
481130053004,206315,38.80296934919945
481130053005,206315,38.80296934919945
481130054001,192018,36.114041967353714
481130054002,169246,31.831167634319417
481130054003,192478,36.20055708210849
481130054004,192768,36.25509921967128
481130055001,44505,8.370337352524643
481130055002,170828,32.12870439854128
481130055003,170937,32.14920471921143
481130055004,170937,32.14920471921143
481130056001,193225,36.34105010541679
481130056002,165121,31.05535274657278
481130056003,192935,36.28650796785399
481130056004,170369,32.04237736012293
481130057001,30705,5.774883909881343
481130057002,172830,32.50523322406098
481130057003,81336,15.297376899335902
481130057004,34844,6.55333186633791
481130059011,165496,31.125881372731563
481130059012,164216,30.885143662109577
481130059013,165484,31.123624456694483
481130059014,34844,6.55333186633791
481130059015,163203,30.694622333312644
481130059016,30818,5.79613653589719
481130059021,164279,30.89699247130425
481130059022,163687,30.785651280141586
481130060011,194720,36.62222422836981
481130060012,193225,36.34105010541679
481130060013,193225,36.34105010541679
481130060021,32185,6.053236887788016
481130060022,163794,30.80577544813889
481130060023,161356,30.34724533993857
481130061001,81175,15.267096609171732
481130061002,161566,30.386741370587494
481130062001,192191,36.14657917355496
481130062002,192191,36.14657917355496
481130062003,197248,37.097681206848236
481130062004,192206,36.149400318601316
481130062005,192242,36.15617106671255
481130063011,72100,13.560303856129124
481130063012,194929,36.66153218268231
481130063013,122760,23.088251059339964
481130063014,203290,38.234038431518584
481130063015,119442,22.464213775087032
481130063016,165187,31.067765784776725
481130063021,197233,37.09486006180188
481130063022,119958,22.56126116468152
481130063023,122752,23.086746448648576
481130064011,203580,38.288580569081375
481130064012,79996,15.04535460852851
481130064021,82267,15.472475968546112
481130064022,212360,39.93989080287908
481130064023,82246,15.468526365481223
481130064024,119487,22.472677210226085
481130065011,82170,15.454232563913042
481130065012,75619,14.222144484003168
481130065013,74391,13.991186742875197
481130065021,82267,15.472475968546112
481130065022,82170,15.454232563913042
481130065023,119372,22.451048431537394
481130067001,204903,38.537405562169575
481130067002,36548,6.873813943603429
481130067003,74345,13.982535231399721
481130067004,211733,39.82196693994158
481130068001,204903,38.537405562169575
481130068002,241119,45.34877816208043
481130068003,180522,33.95191640382998
481130069001,226724,42.64141929926519
481130069002,226968,42.6873099253525
481130069003,204862,38.52969443237621
481130071011,72466,13.6291397952601
481130071012,200836,37.772499101935495
481130071021,241069,45.33937434525925
481130071022,241069,45.33937434525925
481130071023,204468,38.45559235582538
481130071024,241069,45.33937434525925
481130071025,204468,38.45559235582538
481130072011,156361,29.407804039503553
481130072012,147841,27.80539365317595
481130072013,157762,29.671298986832777
481130072014,288148,54.1938201877378
481130072015,271572,51.07626683518306
481130072021,146400,27.53437565238979
481130072022,146400,27.53437565238979
481130072023,146400,27.53437565238979
481130072024,146398,27.533999499716945
481130072025,146400,27.53437565238979
481130073011,38970,7.3293348304209704
481130073012,112658,21.188303908790502
481130073021,104542,19.66187636237796
481130073022,87688,16.492037788297516
481130073023,104542,19.66187636237796
481130073024,163114,30.67788353937096
481130076011,26203,4.928164243303072
481130076012,36533,6.8709927985570785
481130076041,106685,20.064923951333366
481130076042,110524,20.786949006862905
481130076043,98284,18.48489464904015
481130076051,87090,16.379568139116305
481130076052,89856,16.899787285663507
481130077001,112810,21.21689151192686
481130077002,112226,21.10705493145558
481130077003,111223,20.91841436602288
481130077004,113660,21.376756397886773
481130078011,106187,19.9712619357945
481130078012,45570,8.570638650815592
481130078041,102381,19.255443399366932
481130078042,104990,19.74613456109566
481130078043,146742,27.598697759446605
481130078044,104914,19.73184075952748
481130078051,146976,27.642707622169688
481130078052,107112,20.145232546986172
481130078053,181794,34.191149503760585
481130078091,125651,23.631979747940093
481130078092,50717,9.538667554386974
481130078101,106226,19.978596912915016
481130078102,226289,42.559606092920994
481130078103,104611,19.67485362959118
481130078104,106688,20.06548818034264
481130078111,78642,14.790699249011189
481130078112,78642,14.790699249011189
481130078113,78642,14.790699249011189
481130078114,78642,14.790699249011189
481130078121,107850,20.28403288326666
481130078122,48803,9.178689446472536
481130078151,110447,20.7724671289583
481130078152,184849,34.76572271153416
481130078153,182215,34.270329641394845
481130078181,105882,19.913898653185356
481130078182,121123,22.780370096614813
481130078183,111836,21.03370516025044
481130078184,110447,20.7724671289583
481130078191,106137,19.961858118973332
481130078192,186058,34.99310700227008
481130078201,121123,22.780370096614813
481130078202,186018,34.985583948813144
