"","w_geocode","Jobs"
"600","481130092022",241
"601","481130092023",62
"602","481130093011",201
"603","481130093012",8
"604","481130093013",59
"605","481130093031",237
"606","481130093032",35
"607","481130093041",1325
"608","481130093042",4
"609","481130093044",16
"610","481130094011",23
"611","481130094012",7
"612","481130094013",378
"613","481130094013",378
"614","481130094021",259
"615","481130094022",64
"616","481130094022",64
"617","481130095001",720
"618","481130095002",38
"619","481130096031",164
"620","481130096031",164
"621","481130096032",995
"622","481130096033",1410
"623","481130096033",1410
"624","481130096042",1590
"625","481130096043",600
"626","481130096044",4806
"627","481130096051",3477
"628","481130096051",3477
"629","481130096052",193
"630","481130096052",193
"631","481130096071",1619
"632","481130096071",1619
"633","481130096072",390
"634","481130096072",390
"635","481130096073",96
"636","481130096081",23
"637","481130096081",23
"638","481130096082",134
"639","481130096083",1636
"640","481130096091",54
"641","481130096092",341
"642","481130096093",32
"643","481130096094",61
"644","481130096101",1385
"645","481130096102",3395
"646","481130096103",837
"647","481130096111",293
"648","481130096111",293
"649","481130096112",31
"650","481130096113",177
"651","481130097011",125
"652","481130097012",5429
"653","481130097013",340
"654","481130097013",340
"655","481130097021",140
"656","481130097022",684
"657","481130098021",31
"658","481130098021",31
"659","481130098022",3
"660","481130098023",10
"661","481130098024",21
"662","481130098025",753
"663","481130098031",18
"664","481130098031",18
"665","481130098032",1516
"666","481130098033",1
"667","481130098041",34
"668","481130098042",407
"669","481130098043",670
"670","481130098044",50
"671","481130099002",39533
"672","481130099002",39533
"673","481130100001",57675
"674","481130100001",57675
"675","481130100002",63896
"676","481130100002",63896
"677","481130101011",45
"678","481130101012",43
"679","481130101013",102
"680","481130101021",411
"681","481130101022",36
"682","481130101023",60
"683","481130105001",320
"684","481130105002",5734
"685","481130106011",253
"686","481130106012",26
"687","481130106013",768
"688","481130106021",860
"689","481130106022",16
"690","481130107011",4366
"691","481130107012",367
"692","481130107031",24
"693","481130107032",33
"694","481130107041",31
"695","481130107042",143
"696","481130108011",29
"697","481130108012",79
"698","481130108013",164
"699","481130108013",164
"700","481130108014",203
"701","481130108031",21
"702","481130108032",2
"703","481130108033",59
"704","481130108034",63
"705","481130108035",17
"706","481130108035",17
"707","481130108036",34
"708","481130108036",34
"709","481130108036",34
"710","481130108041",1119
"711","481130108041",1119
"712","481130108042",6
"713","481130108051",77
"714","481130108051",77
"715","481130108051",77
"716","481130108052",196
"717","481130108052",196
"718","481130108053",739
"719","481130109021",551
"720","481130109022",16
"721","481130109023",8
"722","481130109031",3566
"723","481130109031",3566
"724","481130109031",3566
"725","481130109031",3566
"726","481130109032",10
"727","481130109041",1481
"728","481130109041",1481
"729","481130109042",1886
"730","481130109042",1886
"731","481130110011",4
"732","481130110011",4
"733","481130110011",4
"734","481130110012",69
"735","481130110012",69
"736","481130110013",64
"737","481130110013",64
"738","481130110014",16
"739","481130110014",16
"740","481130110021",380
"741","481130110022",76
"742","481130110023",7
"743","481130111011",246
"744","481130111011",246
"745","481130111012",45
"746","481130111012",45
"747","481130111013",206
"748","481130111031",82
"749","481130111033",1
"750","481130111041",45
"751","481130111043",16
"752","481130111044",91
"753","481130111051",12
"754","481130111052",11
"755","481130111053",14
"756","481130112001",371
"757","481130112001",371
"758","481130112002",64
"759","481130112002",64
"760","481130112003",9
"761","481130112003",9
"762","481130113001",116
"763","481130113001",116
"764","481130113001",116
"765","481130113002",240
"766","481130113003",4
"767","481130114011",103
"768","481130114012",26
"769","481130115001",5
"770","481130115002",12
"771","481130115003",7
"772","481130115004",9
"773","481130115004",9
"774","481130116011",65
"775","481130116012",25
"776","481130116013",23
"777","481130116021",108
"778","481130116022",155
"779","481130116023",276
"780","481130116023",276
"781","481130116024",311
"782","481130117012",168
"783","481130117013",392
"784","481130117014",52
"785","481130117022",70
"786","481130117023",711
"787","481130117023",711
"788","481130117023",711
"789","481130118002",56
"790","481130118003",59
"791","481130118004",76
"792","481130118005",3
"793","481130119001",429
"794","481130119002",22
"795","481130119003",19
"796","481130119004",419
"797","481130119006",25
"798","481130120001",4
"799","481130120001",4
"800","481130120002",53
"801","481130120003",4
"802","481130120003",4
"803","481130120004",24
"804","481130120004",24
"805","481130121001",19
"806","481130121002",3309
"807","481130121003",20
"808","481130122041",66
"809","481130122042",4
"810","481130122043",69
"811","481130122044",554
"812","481130122045",1147
"813","481130122061",846
"814","481130122061",846
"815","481130122062",62
"816","481130122063",12
"817","481130122071",3311
"818","481130122072",2761
"819","481130122072",2761
"820","481130122073",30
"821","481130122081",20
"822","481130122082",14
"823","481130122091",93
"824","481130122091",93
"825","481130122092",56
"826","481130122101",53
"827","481130122112",371
"828","481130122113",1260
"829","481130123011",24
"830","481130123011",24
"831","481130123012",62
"832","481130123013",43
"833","481130123021",202
"834","481130123022",103
"835","481130123023",590
"836","481130123023",590
"837","481130124001",1
"838","481130124002",135
"839","481130124003",47
"840","481130124004",71
"841","481130124005",69
"842","481130124006",43
"843","481130125001",97
"844","481130125001",97
"845","481130125003",324
"846","481130125003",324
"847","481130125004",6
"848","481130125005",74
"849","481130126011",606
"850","481130126012",64
"851","481130126013",52
"852","481130126031",68
"853","481130126032",29
"854","481130126032",29
"855","481130126041",164
"856","481130126042",201
"857","481130127011",917
"858","481130127011",917
"859","481130127012",8
"860","481130127012",8
"861","481130127013",34
"862","481130127014",2
"863","481130127021",11
"864","481130127022",359
"865","481130127023",73
"866","481130128001",811
"867","481130128002",491
"868","481130128003",37
"869","481130128003",37
"870","481130128004",19
"871","481130128004",19
"872","481130128005",218
"873","481130128006",297
"874","481130129001",203
"875","481130129001",203
"876","481130129002",61
"877","481130129002",61
"878","481130129003",228
"879","481130129004",84
"880","481130129005",105
"881","481130130041",496
"882","481130130042",66
"883","481130130043",503
"884","481130130044",21
"885","481130130045",290
"886","481130130051",285
"887","481130130052",60
"888","481130130053",261
"889","481130130054",461
"890","481130130071",61
"891","481130130072",97
"892","481130130073",228
"893","481130130081",144
"894","481130130082",169
"895","481130130091",156
"896","481130130092",82
"897","481130130093",56
"898","481130130101",1032
"899","481130130101",1032
"900","481130130102",8
"901","481130130103",164
"902","481130130103",164
"903","481130130111",47
"904","481130130112",1356
"905","481130130113",1064
"906","481130131011",1103
"907","481130131012",32
"908","481130131021",32
"909","481130131022",48
"910","481130131041",64
"911","481130131042",27
"912","481130131051",507
"913","481130131052",2
"914","481130131053",73
"915","481130131054",5
"916","481130132001",3593
"917","481130132001",3593
"918","481130132002",18485
"919","481130132002",18485
"920","481130132003",3249
"921","481130132004",986
"922","481130133001",619
"923","481130133002",373
"924","481130134001",225
"925","481130134001",225
"926","481130134002",4193
"927","481130135001",538
"928","481130135002",1596
"929","481130136051",212
"930","481130136051",212
"931","481130136052",70
"932","481130136053",354
"933","481130136054",113
"934","481130136061",54
"935","481130136062",30
"936","481130136062",30
"937","481130136063",891
"938","481130136063",891
"939","481130136071",142
"940","481130136072",14
"941","481130136073",28
"942","481130136073",28
"943","481130136074",257
"944","481130136081",325
"945","481130136082",956
"946","481130136091",967
"947","481130136092",37
"948","481130136093",140
"949","481130136101",335
"950","481130136102",80
"951","481130136104",643
"952","481130136111",2146
"953","481130136111",2146
"954","481130136111",2146
"955","481130136112",227
"956","481130136151",11
"957","481130136152",4801
"958","481130136153",177
"959","481130136171",21
"960","481130136171",21
"961","481130136172",837
"962","481130136172",837
"963","481130136173",131
"964","481130136181",1021
"965","481130136181",1021
"966","481130136182",124
"967","481130136182",124
"968","481130136191",381
"969","481130136192",220
"970","481130136193",132
"971","481130136201",4474
"972","481130136201",4474
"973","481130136202",3227
"974","481130136203",106
"975","481130136211",296
"976","481130136212",13
"977","481130136213",88
"978","481130136222",2201
"979","481130136222",2201
"980","481130136231",75
"981","481130136232",237
"982","481130136233",57
"983","481130136241",241
"984","481130136242",216
"985","481130136243",110
"986","481130136251",318
"987","481130136252",433
"988","481130136261",1180
"989","481130136262",5150
"990","481130141271",670
"991","481130141271",670
"992","481130159003",2164
"993","481130165101",95
"994","481130165101",95
"995","481130165102",196
"996","481130165102",196
"997","481130165103",43
"998","481130165104",53
"999","481130165104",53
"1000","481130165111",33
"1001","481130165111",33
"1002","481130165112",13
"1003","481130165112",13
"1004","481130165201",4997
"1005","481130165201",4997
"1006","481130165203",902
"1007","481130165203",902
"1008","481130165211",19
"1009","481130165211",19
"1010","481130165212",3256
"1011","481130165212",3256
"1012","481130166051",43
"1013","481130166071",30
"1014","481130166072",456
"1015","481130166073",243
"1016","481130167011",129
"1017","481130167011",129
"1018","481130167012",3
"1019","481130167013",11
"1020","481130167014",314
"1021","481130167031",1345
"1022","481130167031",1345
