"","origin","Jobs"
"688","481130124002",21852
"689","481130124003",6404
"690","481130124004",23509
"691","481130124005",21455
"692","481130124006",24907
"693","481130125001",9372
"694","481130125002",7332
"695","481130125003",12524
"696","481130125004",6011
"697","481130125005",8137
"698","481130126011",7147
"699","481130126012",8014
"700","481130126013",7403
"701","481130126031",4604
"702","481130126032",8108
"703","481130126041",3643
"704","481130126042",3735
"705","481130127011",30592
"706","481130127012",29048
"707","481130127013",7209
"708","481130127014",14719
"709","481130127021",14368
"710","481130127022",13245
"711","481130127023",12801
"712","481130128001",18013
"713","481130128002",11477
"714","481130128003",32152
"715","481130128004",64028
"716","481130128005",18698
"717","481130128006",17056
"718","481130129001",49874
"719","481130129002",43932
"720","481130129003",11126
"721","481130129004",9612
"722","481130129005",12796
"723","481130130041",6178
"724","481130130042",5322
"725","481130130043",6168
"726","481130130044",12308
"727","481130130045",14654
"728","481130130051",52085
"729","481130130052",12607
"730","481130130053",24211
"731","481130130054",22525
"732","481130130071",15013
"733","481130130072",28893
"734","481130130073",31000
"735","481130130081",40068
"736","481130130082",7656
"737","481130130091",55807
"738","481130130092",38947
"739","481130130093",9596
"740","481130130101",100406
"741","481130130102",45528
"742","481130130103",37112
"743","481130130111",44350
"744","481130130112",44350
"745","481130130113",45311
"746","481130131011",102816
"747","481130131012",13434
"748","481130131013a",26959
"749","481130131013b",10792
"750","481130131021",48407
"751","481130131022",24594
"752","481130131041",20249
"753","481130131042",54679
"754","481130131051",44623
"755","481130131052",49159
"756","481130131053",49159
"757","481130131054",48447
"758","481130132001",86556
"759","481130132002",200586
"760","481130132003",28262
"761","481130132004",120160
"762","481130133001",119706
"763","481130133002",16854
"764","481130134001",37396
"765","481130134002",15810
"766","481130135001",14242
"767","481130135002",13890
"768","481130136051",22184
"769","481130136052",10754
"770","481130136053",26808
"771","481130136054",32274
"772","481130136061",36756
"773","481130136062",73232
"774","481130136063",72366
"775","481130136071",37616
"776","481130136072",28376
"777","481130136073",28356
"778","481130136074",14178
"779","481130136081",23626
"780","481130136082",9696
"781","481130136091",20644
"782","481130136092",21376
"783","481130136093",13244
"784","481130136101",16694
"785","481130136102",17300
"786","481130136103a",16437
"787","481130136103b",90634
"788","481130136104",16453
"789","481130136111",77580
"790","481130136112",7974
"791","481130136151",60225
"792","481130136152",58536
"793","481130136153",50548
"794","481130136171",18452
"795","481130136172",56688
"796","481130136173",27746
"797","481130136181",20984
"798","481130136182",22936
